Pixel	ADC	VoltageV
1	3962	3.192821
2	3962	3.192821
3	3962	3.192821
4	3962	3.192821
5	3962	3.192821
6	3962	3.192821
7	3962	3.192821
8	3962	3.192821
9	3963	3.193626
10	3962	3.192821
11	3962	3.192821
12	3962	3.192821
13	3962	3.192821
14	3962	3.192821
15	3962	3.192821
16	3962	3.192821
17	3962	3.192821
18	3962	3.192821
19	3962	3.192821
20	3962	3.192821
21	3963	3.193626
22	3963	3.193626
23	3962	3.192821
24	3947	3.180733
25	3947	3.180733
26	3951	3.183956
27	3947	3.180733
28	3947	3.180733
29	3947	3.180733
30	3951	3.183956
31	3947	3.180733
32	3947	3.180733
33	3947	3.180733
34	3962	3.192821
35	3947	3.180733
36	3946	3.179927
37	2159	1.739853
38	1519	1.224103
39	1519	1.224103
40	1515	1.220879
41	1519	1.224103
42	1515	1.220879
43	1515	1.220879
44	1515	1.220879
45	1515	1.220879
46	1519	1.224103
47	1519	1.224103
48	1515	1.220879
49	1515	1.220879
50	1515	1.220879
51	1515	1.220879
52	1515	1.220879
53	1515	1.220879
54	1519	1.224103
55	1515	1.220879
56	1515	1.220879
57	1515	1.220879
58	1515	1.220879
59	1515	1.220879
60	1515	1.220879
61	1519	1.224103
62	1515	1.220879
63	1515	1.220879
64	1518	1.223297
65	1519	1.224103
66	1515	1.220879
67	1515	1.220879
68	1519	1.224103
69	1515	1.220879
70	1519	1.224103
71	1519	1.224103
72	1519	1.224103
73	1515	1.220879
74	1518	1.223297
75	1518	1.223297
76	1515	1.220879
77	1515	1.220879
78	1518	1.223297
79	1515	1.220879
80	1518	1.223297
81	1515	1.220879
82	1515	1.220879
83	1515	1.220879
84	1515	1.220879
85	1519	1.224103
86	1515	1.220879
87	1515	1.220879
88	1515	1.220879
89	1515	1.220879
90	1519	1.224103
91	1519	1.224103
92	1519	1.224103
93	1515	1.220879
94	1515	1.220879
95	1518	1.223297
96	1519	1.224103
97	1519	1.224103
98	1519	1.224103
99	1519	1.224103
100	1515	1.220879
101	1519	1.224103
102	1519	1.224103
103	1515	1.220879
104	1515	1.220879
105	1515	1.220879
106	1515	1.220879
107	1515	1.220879
108	1519	1.224103
109	1515	1.220879
110	1515	1.220879
111	1515	1.220879
112	1515	1.220879
113	1519	1.224103
114	1515	1.220879
115	1519	1.224103
116	1518	1.223297
117	1515	1.220879
118	1515	1.220879
119	1515	1.220879
120	1519	1.224103
121	1519	1.224103
122	1515	1.220879
123	1515	1.220879
124	1519	1.224103
125	1515	1.220879
126	1519	1.224103
127	1515	1.220879
128	1515	1.220879
129	1515	1.220879
130	1519	1.224103
131	1515	1.220879
132	1519	1.224103
133	1515	1.220879
134	1515	1.220879
135	1515	1.220879
136	1515	1.220879
137	1519	1.224103
138	1519	1.224103
139	1519	1.224103
140	1519	1.224103
141	1519	1.224103
142	1519	1.224103
143	1519	1.224103
144	1515	1.220879
145	1515	1.220879
146	1519	1.224103
147	1515	1.220879
148	1515	1.220879
149	1515	1.220879
150	1518	1.223297
151	1515	1.220879
152	1515	1.220879
153	1515	1.220879
154	1515	1.220879
155	1519	1.224103
156	1515	1.220879
157	1515	1.220879
158	1515	1.220879
159	1515	1.220879
160	1515	1.220879
161	1515	1.220879
162	1515	1.220879
163	1519	1.224103
164	1515	1.220879
165	1515	1.220879
166	1515	1.220879
