CurveID,FileName,SourcePath,SampleType,ColorCardID,ReplicateID,UsedForReference,Rows,FirstPixel,LastPixel,ValidRowsAfterSkip,SkippedFirstRows,DarkRowsUsed,ADCSHA256
card01_rep01,1-1TCD1304采集数据.txt,data/raw/v1.0-cards/1-1TCD1304采集数据.txt,color_card,1,1,False,3647,1,3647,3627,20,16,08c4fe886a13e21e97e02d1e5d4bf2346fc11aeec6b19d183c2ed0e4f2e1bc25
card01_rep02,1-2TCD1304采集数据.txt,data/raw/v1.0-cards/1-2TCD1304采集数据.txt,color_card,1,2,False,3647,1,3647,3627,20,16,347942e70b3a294d4393a13e4b4206360d51db471a7f649f4b691c8e64a0e1e4
card01_rep03,1-3TCD1304采集数据.txt,data/raw/v1.0-cards/1-3TCD1304采集数据.txt,color_card,1,3,False,3647,1,3647,3627,20,16,9355d40d51e12f3fe1a8ff45cfcd2fdd16ea01e1cc65953a8e462b5744c978cd
card01_rep04,1-4TCD1304采集数据.txt,data/raw/v1.0-cards/1-4TCD1304采集数据.txt,color_card,1,4,False,3647,1,3647,3627,20,16,9355d40d51e12f3fe1a8ff45cfcd2fdd16ea01e1cc65953a8e462b5744c978cd
card01_rep05,1-5TCD1304采集数据.txt,data/raw/v1.0-cards/1-5TCD1304采集数据.txt,color_card,1,5,False,3647,1,3647,3627,20,16,d35eac0a0237f1335774031f279cf86163fbd745d441db52043bd8020ab08b5b
card02_rep01,2-1TCD1304采集数据.txt,data/raw/v1.0-cards/2-1TCD1304采集数据.txt,color_card,2,1,False,3647,1,3647,3627,20,16,bda425037911d8114bce02f4804cab51200fdd71eca8e7a75e9c74a3a45ce1e9
card02_rep02,2-2TCD1304采集数据.txt,data/raw/v1.0-cards/2-2TCD1304采集数据.txt,color_card,2,2,False,3647,1,3647,3627,20,16,b2fc8b2f6d17a162f988d3f3160ba505c8d652795913f9dfb07ab744f234c5be
card02_rep03,2-3TCD1304采集数据.txt,data/raw/v1.0-cards/2-3TCD1304采集数据.txt,color_card,2,3,False,3647,1,3647,3627,20,16,c71fb60a1cc457a6ef3863599f26beff34c6ff966fb92b07ec08a8f01b455428
card02_rep04,2-4TCD1304采集数据.txt,data/raw/v1.0-cards/2-4TCD1304采集数据.txt,color_card,2,4,False,3647,1,3647,3627,20,16,10282633e080b7daf3044063135036046cf3b8d00c9abfc57908818063aff6a7
card02_rep05,2-5TCD1304采集数据.txt,data/raw/v1.0-cards/2-5TCD1304采集数据.txt,color_card,2,5,False,3647,1,3647,3627,20,16,1e00d8a609de77c17800f6a9662c6b9ecfd6c0cd0b92eb06a89022304eb05c06
card03_rep01,3-1TCD1304采集数据.txt,data/raw/v1.0-cards/3-1TCD1304采集数据.txt,color_card,3,1,False,3647,1,3647,3627,20,16,c88af55c497d2e2dff66b4a2d4cdc9242972026a10655d67daecb0f31d2eff19
card03_rep02,3-2TCD1304采集数据.txt,data/raw/v1.0-cards/3-2TCD1304采集数据.txt,color_card,3,2,False,3647,1,3647,3627,20,16,4cbee75bee296b1ce1bd4a87746549c558c1c8dbcbc896662ba8f878bc9a5b87
card03_rep03,3-3TCD1304采集数据.txt,data/raw/v1.0-cards/3-3TCD1304采集数据.txt,color_card,3,3,False,3647,1,3647,3627,20,16,7ba07143d5fbb1dbf8cf5494186ce1033c82ffa5cadf14a1f49291e868c0f8be
card03_rep04,3-4TCD1304采集数据.txt,data/raw/v1.0-cards/3-4TCD1304采集数据.txt,color_card,3,4,False,3647,1,3647,3627,20,16,201f7160987e9796f89986b896b9518cbba787642abd3dc3e380cbf25174c218
card03_rep05,3-5TCD1304采集数据.txt,data/raw/v1.0-cards/3-5TCD1304采集数据.txt,color_card,3,5,False,3647,1,3647,3627,20,16,a898540f91d9e90aa547ff52d5e67b8db00670b600877d8ca4cd02b320ef46af
card04_rep01,4-1TCD1304采集数据.txt,data/raw/v1.0-cards/4-1TCD1304采集数据.txt,color_card,4,1,False,3647,1,3647,3627,20,16,cae68ab25f41ee16938fda21550bc14f65f40d3f2f678013d6dd698762499646
card04_rep02,4-2TCD1304采集数据.txt,data/raw/v1.0-cards/4-2TCD1304采集数据.txt,color_card,4,2,False,3647,1,3647,3627,20,16,ee4a24e5b73ff8b9147e943977ff96b43a2405f2ad4f6f8f1e2adb55a9f973fb
card04_rep03,4-3TCD1304采集数据.txt,data/raw/v1.0-cards/4-3TCD1304采集数据.txt,color_card,4,3,False,3647,1,3647,3627,20,16,861a92d942d879dde89a102b2162747cc4cadaa36206fe805f70c17e6a9312cb
card04_rep04,4-4TCD1304采集数据.txt,data/raw/v1.0-cards/4-4TCD1304采集数据.txt,color_card,4,4,False,3647,1,3647,3627,20,16,886c4ba5c2100e8c596040d3e9112a6699d4c031796db682579524d568314a37
card04_rep05,4-5TCD1304采集数据.txt,data/raw/v1.0-cards/4-5TCD1304采集数据.txt,color_card,4,5,False,3647,1,3647,3627,20,16,e91dedeed85bbb5966f04bcc26770078d0e9b16c5f46c4c615a43948e0095148
card06_rep01,6-1TCD1304采集数据.txt,data/raw/v1.0-cards/6-1TCD1304采集数据.txt,color_card,6,1,False,3647,1,3647,3627,20,16,8543583d78ae688b98f19ea0418a2df61b5302daac032d4843b97ff7579802c9
card06_rep02,6-2TCD1304采集数据.txt,data/raw/v1.0-cards/6-2TCD1304采集数据.txt,color_card,6,2,False,3647,1,3647,3627,20,16,655203bfc29f1a54c3c2e24fb44e3b0ef09e94bd9323848a106e4a819d455432
