Pixel,RawADC,RawVoltageV,DarkADC,DarkVoltageV,DarkCorrectedIntensityADC,SmoothedIntensityADC,NormalizedIntensity,SmoothedNormalizedIntensity
21,2555.0,2.058974,3936.0,3.171868,1381.0,1373.4977327968465,0.8005797101449276,0.8055328375856186
22,2575.0,2.075092,3936.0,3.171868,1361.0,1373.1821945899196,0.7889855072463768,0.805347779844988
23,2571.0,2.071868,3936.0,3.171868,1365.0,1372.8679984905725,0.7913043478260869,0.8051635092274093
24,2571.0,2.071868,3936.0,3.171868,1365.0,1372.5552839385534,0.7913043478260869,0.8049801075119006
25,2579.0,2.078315,3936.0,3.171868,1357.0,1372.2441903736105,0.7866666666666666,0.80479765647748
26,2571.0,2.071868,3936.0,3.171868,1365.0,1371.934857235493,0.7913043478260869,0.8046162379031663
27,2570.0,2.071062,3936.0,3.171868,1366.0,1371.627423963949,0.7918840579710145,0.8044359335679777
28,2592.0,2.088791,3936.0,3.171868,1344.0,1371.3220299987267,0.7791304347826087,0.8042568252509322
29,2584.0,2.082344,3936.0,3.171868,1352.0,1371.0188147795755,0.783768115942029,0.8040789947310487
30,2575.0,2.075092,3936.0,3.171868,1361.0,1370.7179177462433,0.7889855072463768,0.8039025237873453
31,2571.0,2.071868,3936.0,3.171868,1365.0,1370.4194783384787,0.7913043478260869,0.8037274941988404
32,2570.0,2.071062,3936.0,3.171868,1366.0,1370.1236359960303,0.7918840579710145,0.8035539877445521
33,2584.0,2.082344,3936.0,3.171868,1352.0,1369.8689667253266,0.783768115942029,0.8034046285899082
34,2570.0,2.071062,3936.0,3.171868,1366.0,1369.5761397674398,0.7918840579710145,0.8032328906068918
35,2592.0,2.088791,3936.0,3.171868,1344.0,1369.2863630540521,0.7791304347826087,0.8030629415399021
36,2575.0,2.075092,3936.0,3.171868,1361.0,1368.999776024912,0.7889855072463768,0.8028948631679572
37,2571.0,2.071868,3936.0,3.171868,1365.0,1368.7165181197674,0.7913043478260869,0.8027287372700753
38,2571.0,2.071868,3936.0,3.171868,1365.0,1368.4367287783675,0.7913043478260869,0.802564645625275
39,2571.0,2.071868,3936.0,3.171868,1365.0,1368.1605474404607,0.7913043478260869,0.8024026700125747
40,2571.0,2.071868,3936.0,3.171868,1365.0,1367.8881135457952,0.7913043478260869,0.8022428922109925
41,2568.0,2.069451,3936.0,3.171868,1368.0,1367.6195665341197,0.7930434782608695,0.8020853939995469
42,2571.0,2.071868,3936.0,3.171868,1365.0,1367.3550458451828,0.7913043478260869,0.8019302571572562
43,2584.0,2.082344,3936.0,3.171868,1352.0,1367.0946909187328,0.783768115942029,0.8017775634631388
44,2571.0,2.071868,3936.0,3.171868,1365.0,1366.8386411945185,0.7913043478260869,0.8016273946962131
45,2570.0,2.071062,3936.0,3.171868,1366.0,1366.5870361122884,0.7918840579710145,0.8014798326354975
46,2570.0,2.071062,3936.0,3.171868,1366.0,1366.3400151117908,0.7918840579710145,0.8013349590600101
47,2559.0,2.062198,3936.0,3.171868,1377.0,1366.0977176327742,0.7982608695652174,0.8011928557487694
48,2570.0,2.071062,3936.0,3.171868,1366.0,1365.8602831149874,0.7918840579710145,0.8010536044807938
49,2570.0,2.071062,3936.0,3.171868,1366.0,1365.618241856509,0.7918840579710145,0.8009116514384994
50,2575.0,2.075092,3936.0,3.171868,1361.0,1365.381991705086,0.7889855072463768,0.8007730947810608
51,2575.0,2.075092,3936.0,3.171868,1361.0,1365.1516633854833,0.7889855072463768,0.8006380111763081
52,2570.0,2.071062,3936.0,3.171868,1366.0,1364.9273876224645,0.7918840579710145,0.8005064772920706
53,2579.0,2.078315,3936.0,3.171868,1357.0,1364.7092951407944,0.7866666666666666,0.8003785697961783
54,2559.0,2.062198,3936.0,3.171868,1377.0,1364.5071258069067,0.7982608695652174,0.8002600009530629
55,2570.0,2.071062,3936.0,3.171868,1366.0,1364.3491885042467,0.7918840579710145,0.8001673734368068
56,2571.0,2.071868,3936.0,3.171868,1365.0,1364.1945890405666,0.7913043478260869,0.8000767035058024
57,2579.0,2.078315,3936.0,3.171868,1357.0,1364.0435017155523,0.7866666666666666,0.7999880933838227
