Pixel,RawADC,RawVoltageV,DarkADC,DarkVoltageV,DarkCorrectedIntensityADC,SmoothedIntensityADC,NormalizedIntensity,SmoothedNormalizedIntensity
21,1716.0,1.382857,3933.0,3.169451,2217.0,2217.6733841765654,0.8882211538461539,0.8639017776386009
22,1712.0,1.379634,3933.0,3.169451,2221.0,2217.6347950976606,0.889823717948718,0.86388674513918
23,1708.0,1.37641,3933.0,3.169451,2225.0,2217.5961580863423,0.891426282051282,0.8638716939675337
24,1717.0,1.383663,3933.0,3.169451,2216.0,2217.5574818575947,0.8878205128205128,0.8638566275186123
25,1713.0,1.38044,3933.0,3.169451,2220.0,2217.5187751264025,0.8894230769230769,0.8638415491873656
26,1713.0,1.38044,3933.0,3.169451,2220.0,2217.470437466079,0.8894230769230769,0.8638227190967949
27,1721.0,1.386886,3933.0,3.169451,2212.0,2217.4227359996094,0.8862179487179487,0.8638041368375797
28,1713.0,1.38044,3933.0,3.169451,2220.0,2217.385279868661,0.8894230769230769,0.8637895456816681
29,1716.0,1.382857,3933.0,3.169451,2217.0,2217.3478106652365,0.8882211538461539,0.8637749494333313
30,1717.0,1.383663,3933.0,3.169451,2216.0,2217.3103371043203,0.8878205128205128,0.8637603514875198
31,1725.0,1.39011,3933.0,3.169451,2208.0,2217.2728679008956,0.8846153846153846,0.863745755239183
32,1725.0,1.39011,3933.0,3.169451,2208.0,2217.235411769948,0.8846153846153846,0.8637311640832716
33,1713.0,1.38044,3933.0,3.169451,2220.0,2217.197977426461,0.8894230769230769,0.8637165814147353
34,1712.0,1.379634,3933.0,3.169451,2221.0,2217.1509644437488,0.889823717948718,0.8636982673565756
35,1717.0,1.383663,3933.0,3.169451,2216.0,2217.0662033781155,0.8878205128205128,0.863665248411677
36,1717.0,1.383663,3933.0,3.169451,2216.0,2216.984727861556,0.8878205128205128,0.8636335093629551
37,1713.0,1.38044,3933.0,3.169451,2220.0,2216.906503034134,0.8894230769230769,0.8636030366306098
38,1716.0,1.382857,3933.0,3.169451,2217.0,2216.831494035913,0.8882211538461539,0.863573816634841
39,1721.0,1.386886,3933.0,3.169451,2212.0,2216.7692751486247,0.8862179487179487,0.8635495790677968
40,1713.0,1.38044,3933.0,3.169451,2220.0,2216.709553104333,0.8894230769230769,0.8635263141539479
41,1717.0,1.383663,3933.0,3.169451,2216.0,2216.652301758086,0.8878205128205128,0.8635040117084446
42,1713.0,1.38044,3933.0,3.169451,2220.0,2216.5974949649303,0.8894230769230769,0.8634826615464362
43,1713.0,1.38044,3933.0,3.169451,2220.0,2216.583543146593,0.8894230769230769,0.8634772265708672
44,1709.0,1.377216,3933.0,3.169451,2224.0,2216.5693865261246,0.8910256410256411,0.8634717118139714
45,1708.0,1.37641,3933.0,3.169451,2225.0,2216.5550338185094,0.891426282051282,0.8634661206706988
46,1712.0,1.379634,3933.0,3.169451,2221.0,2216.5404937387325,0.889823717948718,0.8634604565359999
47,1725.0,1.39011,3933.0,3.169451,2208.0,2216.5642115684573,0.8846153846153846,0.8634696958926189
48,1716.0,1.382857,3933.0,3.169451,2217.0,2216.5851623906733,0.8882211538461539,0.8634778573525907
49,1709.0,1.377216,3933.0,3.169451,2224.0,2216.6033897802995,0.8910256410256411,0.8634849578906646
50,1724.0,1.389304,3933.0,3.169451,2209.0,2216.6189373122597,0.8850160256410257,0.8634910144815919
51,1721.0,1.386886,3933.0,3.169451,2212.0,2216.5934119947947,0.8862179487179487,0.8634810710123281
52,1721.0,1.386886,3933.0,3.169451,2212.0,2216.5678910348215,0.8862179487179487,0.8634711292405391
53,1717.0,1.383663,3933.0,3.169451,2216.0,2216.5423831473254,0.8878205128205128,0.8634611925611755
54,1717.0,1.383663,3933.0,3.169451,2216.0,2216.5168970472896,0.8878205128205128,0.863451264369187
55,1716.0,1.382857,3933.0,3.169451,2217.0,2216.4914414496984,0.8882211538461539,0.8634413480595236
56,1717.0,1.383663,3933.0,3.169451,2216.0,2216.4660250695374,0.8878205128205128,0.8634314470271358
57,1732.0,1.395751,3933.0,3.169451,2201.0,2216.440656621789,0.8818108974358975,0.8634215646669731
58,1721.0,1.386886,3933.0,3.169451,2212.0,2216.415344821439,0.8862179487179487,0.8634117043739858
59,1717.0,1.383663,3933.0,3.169451,2216.0,2216.4285349501506,0.8878205128205128,0.8634168426309189
60,1713.0,1.38044,3933.0,3.169451,2220.0,2216.439202090912,0.8894230769230769,0.8634209980498061
61,1721.0,1.386886,3933.0,3.169451,2212.0,2216.476217243655,0.8862179487179487,0.8634354174212439
62,1716.0,1.382857,3933.0,3.169451,2217.0,2216.5088487593043,0.8882211538461539,0.863448129132796
63,1716.0,1.382857,3933.0,3.169451,2217.0,2216.5371663577334,0.8882211538461539,0.8634591603440627
64,1712.0,1.379634,3933.0,3.169451,2221.0,2216.561239758817,0.889823717948718,0.8634685382146446
65,1716.0,1.382857,3933.0,3.169451,2217.0,2216.5907478240997,0.8882211538461539,0.8634800331760913
66,1717.0,1.383663,3933.0,3.169451,2216.0,2216.615501865456,0.8878205128205128,0.8634896761922739
67,1709.0,1.377216,3933.0,3.169451,2224.0,2216.635580317744,0.8910256410256411,0.8634974978177431
68,1724.0,1.389304,3933.0,3.169451,2209.0,2216.651061615824,0.8850160256410257,0.8635035286070499
69,1717.0,1.383663,3933.0,3.169451,2216.0,2216.662024194553,0.8878205128205128,0.8635077991147446
70,1712.0,1.379634,3933.0,3.169451,2221.0,2216.6589373471197,0.889823717948718,0.8635065966234292
71,1713.0,1.38044,3933.0,3.169451,2220.0,2216.652137916383,0.8894230769230769,0.8635039478833837
72,1716.0,1.382857,3933.0,3.169451,2217.0,2216.6416956222156,0.8882211538461539,0.8634998800542083
73,1712.0,1.379634,3933.0,3.169451,2221.0,2216.6276801844924,0.889823717948718,0.8634944202955036
74,1725.0,1.39011,3933.0,3.169451,2208.0,2216.6101613230876,0.8846153846153846,0.8634875957668703
75,1712.0,1.379634,3933.0,3.169451,2221.0,2216.589208757876,0.889823717948718,0.8634794336279089
76,1717.0,1.383663,3933.0,3.169451,2216.0,2216.5360647837206,0.8878205128205128,0.8634587312223738
77,1717.0,1.383663,3933.0,3.169451,2216.0,2216.481574344494,0.8878205128205128,0.863437504297053
78,1721.0,1.386886,3933.0,3.169451,2212.0,2216.425781015117,0.8862179487179487,0.8634157698266962
79,1713.0,1.38044,3933.0,3.169451,2220.0,2216.3687283705117,0.8894230769230769,0.8633935447860545
80,1717.0,1.383663,3933.0,3.169451,2216.0,2216.3104599855988,0.8878205128205128,0.8633708461498777
81,1717.0,1.383663,3933.0,3.169451,2216.0,2216.2510194353,0.8878205128205128,0.8633476908929163
82,1717.0,1.383663,3933.0,3.169451,2216.0,2216.1904502945363,0.8878205128205128,0.8633240959899207
83,1713.0,1.38044,3933.0,3.169451,2220.0,2216.1287961382295,0.8894230769230769,0.863300078415641
84,1717.0,1.383663,3933.0,3.169451,2216.0,2216.066100541301,0.8878205128205128,0.863275655144828
85,1724.0,1.389304,3933.0,3.169451,2209.0,2216.0024070786717,0.8850160256410257,0.8632508431522317
86,1717.0,1.383663,3933.0,3.169451,2216.0,2215.9377593252643,0.8878205128205128,0.8632256594126028
87,1725.0,1.39011,3933.0,3.169451,2208.0,2215.8722008559994,0.8846153846153846,0.8632001209006914
88,1725.0,1.39011,3933.0,3.169451,2208.0,2215.8057752457976,0.8846153846153846,0.8631742445912477
89,1721.0,1.386886,3933.0,3.169451,2212.0,2215.7385260695814,0.8862179487179487,0.8631480474590224
90,1728.0,1.392527,3933.0,3.169451,2205.0,2215.6704969022717,0.8834134615384616,0.8631215464787655
91,1717.0,1.383663,3933.0,3.169451,2216.0,2215.601731318791,0.8878205128205128,0.863094758625228
92,1725.0,1.39011,3933.0,3.169451,2208.0,2215.5322728940587,0.8846153846153846,0.8630677008731594
93,1721.0,1.386886,3933.0,3.169451,2212.0,2215.462165202998,0.8862179487179487,0.8630403901973108
94,1725.0,1.39011,3933.0,3.169451,2208.0,2215.3914518205297,0.8846153846153846,0.8630128435724321
95,1729.0,1.393333,3933.0,3.169451,2204.0,2215.320176321575,0.8830128205128205,0.862985077973274
96,1721.0,1.386886,3933.0,3.169451,2212.0,2215.2772097060656,0.8862179487179487,0.8629683401904323
97,1717.0,1.383663,3933.0,3.169451,2216.0,2215.2414294665955,0.8878205128205128,0.8629544018834197
98,1716.0,1.382857,3933.0,3.169451,2217.0,2215.2026469150396,0.8882211538461539,0.8629392940161073
99,1717.0,1.383663,3933.0,3.169451,2216.0,2215.1609404862565,0.8878205128205128,0.8629230471430457
100,1713.0,1.38044,3933.0,3.169451,2220.0,2215.147189984056,0.8894230769230769,0.8629176905908232
101,1717.0,1.383663,3933.0,3.169451,2216.0,2215.1326725632384,0.8878205128205128,0.8629120352829946
102,1712.0,1.379634,3933.0,3.169451,2221.0,2215.117492803615,0.889823717948718,0.8629061219589603
103,1713.0,1.38044,3933.0,3.169451,2220.0,2215.061344774378,0.8894230769230769,0.8628842493141359
104,1717.0,1.383663,3933.0,3.169451,2216.0,2214.964298195402,0.8878205128205128,0.862846444508122
105,1716.0,1.382857,3933.0,3.169451,2217.0,2214.8770655602257,0.8882211538461539,0.8628124627553829
106,1721.0,1.386886,3933.0,3.169451,2212.0,2214.751644735422,0.8862179487179487,0.8627636046709265
107,1725.0,1.39011,3933.0,3.169451,2208.0,2214.6188458049255,0.8846153846153846,0.8627118724217401
108,1717.0,1.383663,3933.0,3.169451,2216.0,2214.4882779104046,0.8878205128205128,0.8626610092797715
109,1712.0,1.379634,3933.0,3.169451,2221.0,2214.3599410518596,0.889823717948718,0.8626110152450212
110,1721.0,1.386886,3933.0,3.169451,2212.0,2214.2338352292913,0.8862179487179487,0.8625618903174892
