Pixel,MeanIntensityADC,StdIntensityADC,CVIntensity,MeanSmoothedIntensityADC,MeanSmoothedNormalizedIntensity,StdSmoothedNormalizedIntensity,MeanReferenceCorrectedRatio,StdReferenceCorrectedRatio,MeanReferenceCorrectedRatioNormalizedMax
21,1340.8,8.46758525200662,0.006315323129479878,1341.1836503408942,0.7954291227184632,0.0017762957910743798,0.5842984747030877,0.0029373941904580463,0.8436413400441352
22,1341.6,12.501999840025595,0.009318723792505663,1341.1391369899743,0.7954027516114757,0.00173000276833391,0.5843070985075939,0.002917385573097081,0.8436538243899138
23,1345.4,6.8044103344816005,0.0050575370406433775,1341.0986004606816,0.7953787584894788,0.0016760048411599295,0.5843245831423145,0.002891600607399969,0.8436791240970665
24,1348.8,15.642889758609181,0.011597634755789725,1341.0484336994577,0.7953490626736175,0.0016264645124891104,0.5843371591737764,0.0028658379307010253,0.8436973444371709
25,1346.0,10.559356040971437,0.007844989629250697,1341.0009241369412,0.7953209393196818,0.0015782058485134928,0.5843501800185941,0.0028413381600402936,0.8437162034603665
26,1340.6,7.05691150575094,0.005263994857340699,1340.9406640295201,0.7952852283985901,0.0015321613853464806,0.584356931298722,0.0028225362077596064,0.8437259831781894
27,1341.4,3.1304951684997055,0.002333752175711723,1340.8744245713829,0.7952459567325587,0.0014786940186319393,0.5843603628500114,0.0028046752499103983,0.8437309555218917
28,1337.2,6.260990336999411,0.004682164475769825,1340.8258699079513,0.7952171813074707,0.0014346836966775119,0.5843707876300207,0.0027883703619627854,0.8437460326720357
29,1340.4,8.080841540334768,0.0060286791557257295,1340.782504320461,0.7951914576717483,0.001379324486745482,0.5843754180704296,0.002774234067081734,0.8437527189327397
30,1331.8,4.024922359499621,0.0030221672619759883,1340.7422325523912,0.795167568954571,0.001326748243468821,0.5843811787182251,0.002761336136848633,0.843761036980329
31,1336.6,6.148170459575759,0.004599858192111147,1340.703090943483,0.7951443480206909,0.0012756453005384727,0.5843823118151135,0.0027497507925803555,0.8437626709929184
32,1337.8,9.549869109050658,0.007138487897331932,1340.6555583734084,0.7951161622961797,0.0012327520352425894,0.5843798862245209,0.0027383220157823998,0.8437591776709205
33,1337.0,3.0,0.002243829468960359,1340.6138231851776,0.7950914168151084,0.0011947317606030223,0.5843800752787163,0.0027279788879049334,0.8437594613147367
34,1337.8,7.085195833567341,0.0052961547567404255,1340.568092350953,0.7950643266514777,0.001153387194271949,0.5843785991608738,0.002712117345482658,0.8437573668841699
35,1343.2,12.437845472588892,0.009259861132064392,1340.5169111655582,0.7950339799338663,0.0011183741305334416,0.5843748124587986,0.0027026835044995376,0.8437519108766012
36,1340.8,4.08656334834051,0.003047854525910285,1340.4704787750993,0.7950064486205622,0.0010863359690901685,0.5843731501306589,0.002694316674235923,0.8437495210830874
37,1341.4,14.501724035437993,0.010810887159264941,1340.4287272026982,0.794981692404899,0.0010574352580045854,0.5843735716421059,0.00268700211068972,0.8437501389849519
38,1338.0,9.38083151964686,0.007011084842785396,1340.39735395648,0.7949631068274507,0.0010380422292424845,0.584378550056827,0.0026787261948749987,0.8437573512051493
39,1334.6,7.197221686178632,0.005392793111178355,1340.3605268730976,0.7949412719808515,0.0010169810979919994,0.5843811720757905,0.002673116927479806,0.8437611467407539
40,1336.8,6.1400325732035,0.004593082415622008,1340.353425381005,0.7949370535708106,0.001009677200671774,0.5843967646717216,0.002673093604202335,0.8437836551862338
41,1343.2,12.911235417263523,0.009612295575687555,1340.3473843282004,0.7949334345087266,0.0009938585538241083,0.5844128195230882,0.0026773006807407343,0.8438068027167394
42,1337.2,3.9623225512317903,0.0029631487819561696,1340.3444065923704,0.7949316338158465,0.0009820493905785923,0.5844253015491565,0.0026820083213107073,0.8438247931415708
43,1346.8,8.34865258589672,0.00619888074390906,1340.3578944249452,0.7949396177312723,0.0009758236603120368,0.5844452713503842,0.0026839984616784944,0.8438536135074015
44,1347.8,9.47100839404126,0.0070270132022861405,1340.375357336151,0.7949499504690166,0.0009693824224794945,0.584467267505943,0.002687696490600971,0.8438853508100312
45,1334.4,8.44393273303382,0.006327887239983379,1340.3966271267907,0.7949625471385368,0.0009654302124104236,0.5844912013052708,0.0026906625099612723,0.8439198922499811
46,1341.4,11.92895636675732,0.008892915138480185,1340.423459168999,0.7949784679194493,0.0009670746051457155,0.58451782284289,0.0026896936722602383,0.843958340679797
47,1342.8,13.065221008463652,0.009729833935406355,1340.4632462096433,0.7950020879389911,0.0009711722581981281,0.5845503406448397,0.0026860453590078926,0.8440053197824593
48,1344.6,7.6681158050723255,0.005702897371019133,1340.503646785181,0.7950260695835661,0.000978286906494248,0.5845833576412565,0.0026834392891449447,0.8440530171812279
49,1344.6,10.714476188783099,0.007968523121213074,1340.5311871813117,0.7950424168360349,0.0009986755891689065,0.5846109824167344,0.0026849480745689243,0.8440929220393081
50,1342.2,2.4899799195977463,0.0018551482041407736,1340.57366105161,0.7950676240277397,0.0010101710312225187,0.5846453202660474,0.0026840874626257345,0.8441425220017441
51,1339.6,7.893034904268447,0.005892083386285793,1340.6147516796032,0.7950920034575185,0.0010231093063849674,0.5846792400407483,0.0026850263995526163,0.8441915103895928
52,1342.6,6.465291950097845,0.004815501229031615,1340.6584116592626,0.7951179101280799,0.0010388523370522232,0.5847144500645935,0.002685906154941019,0.8442423652509502
53,1343.2,8.408329203831164,0.006259923469201283,1340.7044884783627,0.7951452487676219,0.001054973677053163,0.5847508683977305,0.0026871987213920104,0.8442949630287669
54,1347.4,13.049904214207858,0.009685248785963973,1340.7509095393423,0.7951727894150051,0.001072768373768484,0.5847875756167569,0.0026893349778728606,0.844347975545887
55,1346.6,10.85357084097211,0.008059981316628627,1340.7976556692358,0.7952005207253121,0.0010919869600971358,0.5848245478474722,0.002692271171684162,0.8444013683571473
56,1343.2,12.437845472588892,0.009259861132064392,1340.862004150083,0.7952386449643079,0.0011242123423542472,0.5848693057334329,0.002707568597028271,0.8444659535579444
57,1332.8,7.014271166700073,0.005262808498424425,1340.9389234728592,0.7952841894563178,0.0011668501562956631,0.5849196396484005,0.0027324116063907754,0.8445385525026243
58,1347.0,15.604486534327235,0.011584622519916285,1341.0140483803714,0.7953286730829865,0.0012082987813393602,0.5849692682006365,0.0027564452335942682,0.8446101364174925
59,1345.6,10.430723848324238,0.0077517269978628405,1341.108527699278,0.7953846538850557,0.0012359712701870394,0.5850274014633448,0.002773703168354596,0.8446940175944926
60,1344.0,5.656854249492381,0.004208968935634212,1341.2170981019713,0.7954489910517175,0.0012604226378093763,0.5850917285502755,0.0027903631621235547,0.8447868425557463
61,1346.2,8.526429498916883,0.0063337019008445124,1341.3174786853347,0.7955084629999102,0.001282708753599378,0.585150061397792,0.0028080142719167094,0.8448710040368862
62,1346.6,10.85357084097211,0.008059981316628627,1341.4253473574938,0.7955723870070732,0.001312923923174585,0.5852044822054034,0.0028255314960672065,0.8449495288733597
63,1339.8,4.024922359499621,0.0030041217789965827,1341.5361214311129,0.7956380574977459,0.0013464683690780025,0.5852608294333906,0.002839547025597448,0.8450308598283499
64,1344.2,12.11197754291181,0.009010547197524036,1341.6454883833694,0.7957028933139515,0.001377326398292958,0.5853171974548572,0.0028530230390954345,0.8451122205952043
65,1344.8,4.3817804600413295,0.0032583138459557777,1341.7474805416264,0.7957633583297644,0.0014077734102876725,0.5853709584245944,0.0028659268633987258,0.8451898199650703
66,1348.2,14.024977718342372,0.010402742707567402,1341.8576633907119,0.7958286871040612,0.0014312844972416208,0.5854288788487944,0.002875942915084552,0.8452734303582922
67,1341.0,12.020815280171307,0.008964068068733264,1341.946359794648,0.7958812675347692,0.0014605482025400825,0.585475532248126,0.002888539505674158,0.8453407681806461
68,1348.0,9.40744386111339,0.006978815920707262,1342.030054669104,0.7959308826455456,0.0014882611653459052,0.5855207060690132,0.002900620360356976,0.8454059705720847
69,1346.6,7.300684899377592,0.0054215690623626855,1342.108805532977,0.795977566530268,0.0015143601506407932,0.5855643987853887,0.0029121538463770767,0.845469035307721
70,1342.2,11.256109452204168,0.008386313106991632,1342.1788262484945,0.7960190865933358,0.0015350934215469898,0.5856049318300859,0.002919653995317809,0.8455275522766776
71,1338.6,6.6932802122726045,0.005000209332341704,1342.2442776977528,0.7960578967727981,0.001554393515459413,0.5856465493179178,0.002926798782069024,0.8455876349083438
72,1344.6,9.126883367283709,0.0067878055684097195,1342.3052139136544,0.796094029106764,0.001572199614820375,0.5856841716336466,0.0029335341281790015,0.845641948974858
73,1343.0,6.082762530298219,0.004529234944376932,1342.3578452724337,0.7961252398789654,0.0015897272792147216,0.5857187418497958,0.0029395146819973894,0.8456918597294928
74,1344.0,12.98075498574717,0.009658299840585692,1342.4024855135249,0.7961517060084295,0.0016089282666431758,0.585750370055011,0.002946986394132948,0.8457375173535923
75,1339.6,6.6558245169174945,0.004968516360792397,1342.439444890369,0.7961735814468422,0.0016093476719168049,0.5857791648033083,0.0029553752309974765,0.8457790457027172
76,1336.4,8.29457654133109,0.0062066570946805516,1342.4728738270799,0.7961933655479613,0.0016090609335387758,0.5858069103498365,0.0029630748431574063,0.8458190616630974
77,1338.2,12.17374223482656,0.009097102252896847,1342.5028158985792,0.7962110841142479,0.0016080219086525595,0.5858434251648208,0.0029701342353318947,0.8458717416167904
78,1344.0,10.27131929208707,0.00764235066375526,1342.5254710231206,0.7962244871937856,0.001607496755241875,0.5858765356092432,0.0029761879354460504,0.8459195121776361
79,1340.8,9.57601169589929,0.007142013496344936,1342.5449861388254,0.7962360301106008,0.0016060790412773904,0.5859080332023011,0.00298157950356458,0.8459649561437492
80,1342.8,13.103434664239753,0.009758292124098714,1342.5614013346203,0.7962457366031657,0.0016037352206074637,0.5859379173818415,0.002986309975580457,0.8460080726620933
81,1336.8,6.340346993658944,0.004742928630804118,1342.565147557764,0.7962479410240081,0.0016039552279646277,0.5859619936803954,0.002989672951254578,0.8460428145088666
82,1331.0,6.6332495807108,0.0049836585880622085,1342.566523305183,0.7962487409155135,0.0016031672043030733,0.5859847385089232,0.0029924880147491942,0.846075635301798
83,1331.6,11.28273016605467,0.00847306260592871,1342.5655599508202,0.7962481548561813,0.0016013290276073644,0.5859987741184718,0.0029947122041494036,0.8460958826252083
84,1331.4,9.964938534682489,0.007484556507948391,1342.5661325252877,0.7962484681139881,0.0016022959814513344,0.5860136446796013,0.0029998541119678644,0.8461173233023744
85,1336.6,5.504543577809153,0.004118317804735264,1342.5641690393288,0.7962472794232613,0.0016019412792173632,0.5860250903160391,0.003004201898108759,0.8461338210990954
86,1341.0,6.041522986797286,0.0045052371266199,1342.5597043528808,0.7962446094182686,0.0016002348971719269,0.5860357255437562,0.003007770958751372,0.846149150945523
87,1336.8,6.180614856144977,0.004623440197594986,1342.550851497547,0.7962393408560878,0.0015980445337575675,0.5860446998808448,0.003010478202897056,0.8461620866278328
88,1339.0,9.027735042633894,0.0067421471565600405,1342.5358533581962,0.7962304424422916,0.0015904302675567687,0.5860512194498414,0.0030089469228591383,0.846171493455149
89,1329.6,9.396807968666808,0.007067394681608611,1342.5207682433022,0.7962214959436476,0.0015800841848464156,0.5860579020054637,0.003006016084692036,0.8461811390600132
90,1342.0,6.0,0.004470938897168405,1342.5016522738777,0.7962101570822078,0.0015701888457701413,0.5860629991270788,0.0030035330490682213,0.8461884938660258
91,1334.2,6.418722614352485,0.0048109148661013975,1342.4805885054661,0.7961976639446303,0.001559082713245983,0.5860772275215498,0.0030006023459509157,0.8462090338115779
92,1333.8,14.72073367736812,0.01103668741742999,1342.471059367352,0.7961920036608772,0.0015390761702108536,0.5860959487331376,0.002996654346786517,0.8462360532631497
93,1342.2,13.179529581893277,0.009819348518770137,1342.4491235776134,0.796178996322683,0.0015234627955232772,0.5861086927130457,0.002991978539294162,0.8462544529161795
94,1339.8,5.118593556827891,0.003820416149296829,1342.4270032045074,0.7961658882047253,0.0015095779599730238,0.5861207772110936,0.0029862343419512134,0.8462719097911279
95,1338.4,10.358571330062848,0.007739518327901111,1342.398836026707,0.7961491836616236,0.0014931561692435671,0.5861296246621102,0.0029816516570163034,0.8462846819214576
96,1339.4,4.219004621945797,0.0031499213244331765,1342.3687602673485,0.7961313534721877,0.001479561792369127,0.5861370237746464,0.0029767206160934722,0.8462953699339769
97,1346.6,7.436396977031283,0.005522350346822578,1342.3464164420454,0.7961180998616777,0.0014586686959880421,0.5861471661432465,0.0029715018087543336,0.8463100102322896
98,1349.4,14.707141122597553,0.01089902261938458,1342.325684365936,0.7961058230500102,0.001443685245987749,0.5861499831011113,0.002964066643856459,0.8463140964958443
99,1346.4,13.992855319769443,0.010392792126982651,1342.3250884353106,0.7961055036765651,0.0014246807832698752,0.5861589629297644,0.002952831273250874,0.8463270965292402
100,1347.4,12.501999840025595,0.009278610538834492,1342.2957245158686,0.7960881158529209,0.0014191736678479951,0.5861632357189385,0.0029463839700473848,0.846333292390718
101,1342.0,6.442049363362563,0.004800334846022774,1342.246239440715,0.7960587765501522,0.0014174848073189108,0.5861618062022372,0.002944227643780925,0.8463312381680472
102,1344.2,16.574076143182157,0.012330067060840765,1342.1846046316732,0.7960222173570274,0.0014235808329601974,0.5861556773940799,0.002946675356297128,0.8463223852433679
103,1353.8,8.378544026261364,0.0061889082776343364,1342.096588170811,0.7959700389877681,0.0014176136403311974,0.5861386153717774,0.0029408764352012954,0.8462977740377393
104,1343.4,4.979959839195493,0.0037069821640579813,1341.9924449801329,0.7959083436235964,0.0014011970107055632,0.5861175396899838,0.002923540856660217,0.8462674171331355
105,1344.2,11.606032913963324,0.008634156311533494,1341.8527990350847,0.7958256242191056,0.0013774784831428557,0.5860887221958714,0.0028982644094513927,0.8462259173456742
106,1346.2,4.8166378315169185,0.0035779511450875936,1341.6924931739964,0.7957306254799118,0.0013530138171290573,0.5860507501299622,0.002877615466219784,0.8461711726312771
107,1343.8,7.726577508832744,0.005749797223420706,1341.526614254759,0.7956323489628223,0.0013221913181453288,0.5860126631709234,0.0028500944694267844,0.8461162909301052
108,1344.2,10.425929215182693,0.007756233607486009,1341.3789301311074,0.7955448712878059,0.0012924872824464225,0.585982208942199,0.002821268521019179,0.8460724371340094
109,1347.2,10.183319694480774,0.007558877445428128,1341.2257827581084,0.7954541438982149,0.001272118243742961,0.5859464182662418,0.002796443479554009,0.8460208690707974
110,1353.2,12.517987058628874,0.009250655526624943,1341.0401898472253,0.7953441568603415,0.0012566645412639876,0.585888068882454,0.0027759203433790703,0.8459367141039541
111,1346.8,10.52140675005011,0.007812152324064531,1340.8502648919548,0.7952316288177728,0.0012358745881740044,0.5858346899917987,0.002748445094529702,0.8458597653642823
112,1348.8,10.756393447619885,0.007974787550133366,1340.6621847245574,0.7951201948701623,0.0012175134629291869,0.5857815920325411,0.002721381432335417,0.8457832222956163
113,1346.8,7.981227975693966,0.005926067698020468,1340.4731732739397,0.7950082301583112,0.0012039386918026509,0.5857196701396716,0.002690935511345451,0.8456939591607844
