Pixel,SmoothedIntensityADC,ReferenceIntensityADC,ReferenceCorrectedRatio,ReferenceCorrectedRatioNormalizedMax
21,2295.3742109671243,2295.3742109671243,1.0,1.0
22,2295.264152045115,2295.264152045115,1.0,1.0
23,2295.1260979790954,2295.1260979790954,1.0,1.0
24,2294.990850138015,2294.990850138015,1.0,1.0
25,2294.8584085218736,2294.8584085218736,1.0,1.0
26,2294.728773130671,2294.728773130671,1.0,1.0
27,2294.601943964408,2294.601943964408,1.0,1.0
28,2294.4779210230827,2294.4779210230827,1.0,1.0
29,2294.385531731707,2294.385531731707,1.0,1.0
30,2294.294000866283,2294.294000866283,1.0,1.0
31,2294.222572855104,2294.222572855104,1.0,1.0
32,2294.150757027123,2294.150757027123,1.0,1.0
33,2294.0785969572635,2294.0785969572635,1.0,1.0
34,2294.0061362204465,2294.0061362204465,1.0,1.0
35,2293.933418391593,2293.933418391593,1.0,1.0
36,2293.8604870456247,2293.8604870456247,1.0,1.0
37,2293.7873857574637,2293.7873857574637,1.0,1.0
38,2293.7141581020296,2293.7141581020296,1.0,1.0
39,2293.640847654245,2293.640847654245,1.0,1.0
40,2293.567497989031,2293.567497989031,1.0,1.0
41,2293.494152681309,2293.494152681309,1.0,1.0
42,2293.440073589341,2293.440073589341,1.0,1.0
43,2293.3847874720495,2293.3847874720495,1.0,1.0
44,2293.3283553343244,2293.3283553343244,1.0,1.0
45,2293.270838181056,2293.270838181056,1.0,1.0
46,2293.212297017136,2293.212297017136,1.0,1.0
47,2293.152792847451,2293.152792847451,1.0,1.0
48,2293.0923866768935,2293.0923866768935,1.0,1.0
49,2293.0311395103536,2293.0311395103536,1.0,1.0
50,2292.969112352719,2292.969112352719,1.0,1.0
51,2292.906366208882,2292.906366208882,1.0,1.0
52,2292.842962083731,2292.842962083731,1.0,1.0
53,2292.778960982157,2292.778960982157,1.0,1.0
54,2292.7144239090494,2292.7144239090494,1.0,1.0
55,2292.649411869299,2292.649411869299,1.0,1.0
56,2292.5839858677946,2292.5839858677946,1.0,1.0
57,2292.5182069094267,2292.5182069094267,1.0,1.0
58,2292.452135999086,2292.452135999086,1.0,1.0
59,2292.3858341416612,2292.3858341416612,1.0,1.0
60,2292.319362342043,2292.319362342043,1.0,1.0
61,2292.2623907467914,2292.2623907467914,1.0,1.0
62,2292.233549377807,2292.233549377807,1.0,1.0
63,2292.2021327309667,2292.2021327309667,1.0,1.0
64,2292.168236671099,2292.168236671099,1.0,1.0
65,2292.1319570630285,2292.1319570630285,1.0,1.0
66,2292.0933897715854,2292.0933897715854,1.0,1.0
67,2292.062239803264,2292.062239803264,1.0,1.0
68,2292.0283446148937,2292.0283446148937,1.0,1.0
69,2291.9918087862857,2291.9918087862857,1.0,1.0
70,2291.9527368972526,2291.9527368972526,1.0,1.0
71,2291.9016243859337,2291.9016243859337,1.0,1.0
72,2291.8584433818105,2291.8584433818105,1.0,1.0
73,2291.8130313417114,2291.8130313417114,1.0,1.0
74,2291.7654928454467,2291.7654928454467,1.0,1.0
75,2291.715932472829,2291.715932472829,1.0,1.0
76,2291.664454803669,2291.664454803669,1.0,1.0
77,2291.5727278510985,2291.5727278510985,1.0,1.0
78,2291.481889826925,2291.481889826925,1.0,1.0
79,2291.3920104510225,2291.3920104510225,1.0,1.0
80,2291.303159443265,2291.303159443265,1.0,1.0
81,2291.2154065235277,2291.2154065235277,1.0,1.0
82,2291.128821411684,2291.128821411684,1.0,1.0
83,2291.072301252618,2291.072301252618,1.0,1.0
84,2291.015140542207,2291.015140542207,1.0,1.0
85,2290.9670442869497,2290.9670442869497,1.0,1.0
86,2290.9178499436707,2290.9178499436707,1.0,1.0
87,2290.8676620921847,2290.8676620921847,1.0,1.0
88,2290.816585312302,2290.816585312302,1.0,1.0
89,2290.764724183833,2290.764724183833,1.0,1.0
90,2290.7121832865905,2290.7121832865905,1.0,1.0
91,2290.6206306337062,2290.6206306337062,1.0,1.0
92,2290.531204436986,2290.531204436986,1.0,1.0
93,2290.4439744163055,2290.4439744163055,1.0,1.0
94,2290.359010291538,2290.359010291538,1.0,1.0
95,2290.2763817825585,2290.2763817825585,1.0,1.0
96,2290.196158609241,2290.196158609241,1.0,1.0
97,2290.1184104914605,2290.1184104914605,1.0,1.0
98,2290.072034574099,2290.072034574099,1.0,1.0
99,2290.0359344947055,2290.0359344947055,1.0,1.0
100,2289.969146341158,2289.969146341158,1.0,1.0
101,2289.890308850341,2289.890308850341,1.0,1.0
102,2289.8091008838005,2289.8091008838005,1.0,1.0
103,2289.7255921614083,2289.7255921614083,1.0,1.0
104,2289.6302432613697,2289.6302432613697,1.0,1.0
105,2289.5045548865487,2289.5045548865487,1.0,1.0
106,2289.379363265832,2289.379363265832,1.0,1.0
107,2289.245094117486,2289.245094117486,1.0,1.0
108,2289.1120407094477,2289.1120407094477,1.0,1.0
109,2288.990496309653,2288.990496309653,1.0,1.0
110,2288.901688005318,2288.901688005318,1.0,1.0
111,2288.7860480073755,2288.7860480073755,1.0,1.0
112,2288.67243860077,2288.67243860077,1.0,1.0
113,2288.5916960143895,2288.5916960143895,1.0,1.0
114,2288.515053828113,2288.515053828113,1.0,1.0
