Pixel,SmoothedIntensityADC,ReferenceIntensityADC,ReferenceCorrectedRatio,ReferenceCorrectedRatioNormalizedMax
21,2160.538176424411,2295.3742109671243,0.9412574934847325,0.6060806630801522
22,2160.531957411627,2295.264152045115,0.9412999176964273,0.6061079802537551
23,2160.5261262156437,2295.1260979790954,0.9413539971150301,0.6061428022765413
24,2160.5206741214765,2294.990850138015,0.9414070971095803,0.6061769936430157
25,2160.5155924141413,2294.8584085218736,0.9414592135145005,0.6062105516709412
26,2160.5108723786543,2294.728773130671,0.9415103421704584,0.6062434736821016
27,2160.4392413083406,2294.601943964408,0.941531164911212,0.6062568815546662
28,2160.4397633359,2294.4779210230827,0.9415822848156166,0.6062897979306553
29,2160.440559885463,2294.385531731707,0.9416205472037003,0.6063144352840908
30,2160.3743582503575,2294.294000866283,0.9416292582531446,0.6063200443747593
31,2160.274522004913,2294.222572855104,0.941615058436333,0.606310901037842
32,2160.182015061249,2294.150757027123,0.9416042116868215,0.6063039167586394
33,2160.0967328395554,2294.0785969572635,0.9415966548419857,0.6062990508664041
34,2160.00896161835,2294.0061362204465,0.9415881359311151,0.6062935654947763
35,2159.9288552258226,2293.933418391593,0.9415830633568569,0.606290299237465
36,2159.8563003671757,2293.8604870456247,0.941581370168227,0.6062892089843784
37,2159.791183747613,2293.7873857574637,0.9415829894078863,0.606290251621333
38,2159.7333920723404,2293.7141581020296,0.9415878541114496,0.6062933840296078
39,2159.692421188231,2293.640847654245,0.9416000867777508,0.606301260707939
40,2159.657899392491,2293.567497989031,0.9416151481419447,0.6063109587997585
41,2159.7354226636776,2293.494152681309,0.9416790621152206,0.6063521133441538
42,2159.8120439339905,2293.440073589341,0.9417346756977973,0.6063879232232121
43,2159.8877544884476,2293.3847874720495,0.9417903904687739,0.6064237982580146
44,2159.9625456120616,2293.3283553343244,0.9418461776692154,0.6064597199305314
45,2160.0364085898495,2293.270838181056,0.9419020085316727,0.6064956697172504
46,2160.1093347068277,2293.212297017136,0.9419578542800245,0.6065316290890754
47,2160.1813152480104,2293.152792847451,0.9420136861293366,0.6065675795112354
48,2160.2619506400847,2293.0923866768935,0.9420736657587075,0.6066062007108456
49,2160.3313646183965,2293.0311395103536,0.9421291003835677,0.6066418953580865
50,2160.3998155909453,2292.969112352719,0.9421844384873768,0.6066775278549138
51,2160.467294842746,2292.906366208882,0.942239651248772,0.6067130796430998
52,2160.5337936588153,2292.842962083731,0.9422947098371389,0.60674853215846
53,2160.5993033241693,2292.778960982157,0.9423495854125572,0.6067838668308176
54,2160.663815123822,2292.7144239090494,0.9424042491257666,0.6068190650839819
55,2160.7369294844602,2292.649411869299,0.9424628634007828,0.6068568071247238
56,2160.798770141431,2292.5839858677946,0.9425167337211072,0.606891494508026
57,2160.859595502732,2292.5182069094267,0.9425703093611696,0.6069259921451537
58,2160.91939685338,2292.452135999086,0.9426235614344106,0.6069602814358991
59,2160.9781654783915,2292.3858341416612,0.9426764610450175,0.6069943437740958
60,2161.04550180445,2292.319362342043,0.942733171174076,0.6070308597252154
61,2161.1399661335836,2292.2623907467914,0.9427978118288239,0.6070724821836424
62,2161.2019558167854,2292.233549377807,0.942836717664922,0.6070975338566471
63,2161.291099648014,2292.2021327309667,0.9428885301110059,0.6071308961638752
64,2161.347794978264,2292.168236671099,0.9429272076979723,0.6071558008660605
65,2161.4316706014943,2292.1319570630285,0.9429787250865765,0.6071889731842215
66,2161.5119512937085,2292.0933897715854,0.943029616916748,0.6072217427020093
67,2161.588663199858,2292.062239803264,0.9430759015450622,0.6072515456182286
