CurveID,FileName,SampleType,ColorCardID,ReplicateID,UsedForReference,Rows,ValidRows,DarkADCMedianFirst16,DarkADCStdFirst16,ValidADCMin,ValidADCMax,ValidADCMean,IntensityMin,IntensityMax,IntensityMean,PeakPixelRawIntensity,PeakPixelSmoothedIntensity,SaturatedCountADC_GE_4090,PossibleDuplicateOf,ReferenceCorrectedRatioMedian,ReferenceCorrectedRatioMax
card01_rep01,1-1TCD1304采集数据.txt,color_card,1,1,False,3647,3627,3940.0,6.7712628068920795,2101.0,2877.0,2561.797904604356,1063.0,1839.0,1378.2020953956437,3395,3409,0,,0.6220719498769456,0.7496739064782678
card01_rep02,1-2TCD1304采集数据.txt,color_card,1,2,False,3647,3627,3933.0,4.669047011971501,2161.0,2909.0,2614.379928315412,1024.0,1772.0,1318.6200716845879,3386,3407,0,,0.5934238952142743,0.7211313196870943
card01_rep03,1-3TCD1304采集数据.txt,color_card,1,3,False,3647,3627,3938.5,6.340346993658944,2107.0,2888.0,2571.9159084642956,1050.5,1831.5,1366.5840915357044,3396,3408,0,card01_rep04,0.6159862201444449,0.7463923961694043
card01_rep04,1-4TCD1304采集数据.txt,color_card,1,4,False,3647,3627,3938.5,6.340346993658944,2107.0,2888.0,2571.9159084642956,1050.5,1831.5,1366.5840915357044,3396,3408,0,card01_rep03,0.6159862201444449,0.7463923961694043
card01_rep05,1-5TCD1304采集数据.txt,color_card,1,5,False,3647,3627,3938.0,3.581782610191002,2107.0,2888.0,2572.9558864074993,1050.0,1831.0,1365.0441135925007,3436,3407,0,,0.61499404495839,0.7458477993944181
card02_rep01,2-1TCD1304采集数据.txt,color_card,2,1,False,3647,3627,3931.0,3.723797345005051,2121.0,2865.0,2544.6961676316514,1066.0,1810.0,1386.3038323683486,3343,3406,0,,0.6203909265318105,0.7369058769388036
card02_rep02,2-2TCD1304采集数据.txt,color_card,2,2,False,3647,3627,3932.0,6.5612498809297,2117.0,2861.0,2542.7474496829336,1071.0,1815.0,1389.2525503170664,3384,3403,0,,0.6228386834261438,0.7375924304361148
card02_rep03,2-3TCD1304采集数据.txt,color_card,2,3,False,3647,3627,3931.0,4.589843860815601,2113.0,2869.0,2540.283154121864,1062.0,1818.0,1390.7168458781362,3428,3408,0,,0.6235076515120461,0.7382320607167406
card02_rep04,2-4TCD1304采集数据.txt,color_card,2,4,False,3647,3627,3936.0,5.609144319769282,2115.0,2859.0,2542.3995037220843,1077.0,1821.0,1393.6004962779157,3437,3388,0,,0.6245989392250582,0.7400431232009932
card02_rep05,2-5TCD1304采集数据.txt,color_card,2,5,False,3647,3627,3936.0,5.573374202401989,2122.0,2867.0,2541.9983457402814,1069.0,1814.0,1394.0016542597189,3390,3404,0,,0.6248373810437892,0.7388688949285052
card03_rep01,3-1TCD1304采集数据.txt,color_card,3,1,False,3647,3627,3936.0,5.495452665613635,2186.0,2920.0,2631.0653432588915,1016.0,1750.0,1304.9346567411083,3372,3406,0,,0.585887441588614,0.7101734786602869
card03_rep02,3-2TCD1304采集数据.txt,color_card,3,2,False,3647,3627,3936.0,5.819149422381247,2187.0,2920.0,2631.338847532396,1016.0,1749.0,1304.661152467604,3426,3403,0,,0.5853017950089769,0.7105117613138239
card03_rep03,3-3TCD1304采集数据.txt,color_card,3,3,False,3647,3627,3930.5,3.1826351764955194,2175.0,2917.0,2630.524400330852,1013.5,1755.5,1299.975599669148,3433,3396,0,,0.5829501034658247,0.7099214976364543
card03_rep04,3-4TCD1304采集数据.txt,color_card,3,4,False,3647,3627,3933.0,3.5402448126271344,2185.0,2921.0,2631.0843672456576,1012.0,1748.0,1301.9156327543424,3398,3401,0,,0.5831050170159496,0.7111836569870582
card03_rep05,3-5TCD1304采集数据.txt,color_card,3,5,False,3647,3627,3927.0,3.5189960689567887,2187.0,2922.0,2633.1954783567685,1005.0,1740.0,1293.8045216432313,3360,3409,0,,0.5807288450469895,0.7065772281147853
card04_rep01,4-1TCD1304采集数据.txt,color_card,4,1,False,3647,3627,3936.0,7.116881339463234,2298.0,2959.0,2709.5580369451336,977.0,1638.0,1226.4419630548664,3386,3402,0,,0.5448229194327115,0.6672644228861352
card04_rep02,4-2TCD1304采集数据.txt,color_card,4,2,False,3647,3627,3936.0,4.516635916254486,2287.0,2978.0,2707.087675765095,958.0,1649.0,1228.9123242349049,3400,3396,0,,0.546106667758868,0.6684223614408927
card04_rep03,4-3TCD1304采集数据.txt,color_card,4,3,False,3647,3627,3936.0,7.231585810410697,2298.0,2959.0,2709.4775296388198,977.0,1638.0,1226.52247036118,3385,3401,0,,0.5443537155850052,0.6670187674815725
card04_rep04,4-4TCD1304采集数据.txt,color_card,4,4,False,3647,3627,3926.5,3.632606961031338,2292.0,2964.0,2705.86435070306,962.5,1634.5,1220.6356492969396,3395,3403,0,,0.5426039296128392,0.6664157521346217
card04_rep05,4-5TCD1304采集数据.txt,color_card,4,5,False,3647,3627,3929.0,4.618802153517006,2289.0,2961.0,2704.87400055142,968.0,1640.0,1224.1259994485802,3380,3396,0,,0.5446193334936863,0.6661113978750395
card06_rep01,6-1TCD1304采集数据.txt,color_card,6,1,False,3647,3627,3936.0,4.516635916254486,2219.0,2923.0,2651.1825199889718,1013.0,1717.0,1284.8174800110285,3401,3406,0,,0.5731514672842656,0.6964786552332591
card06_rep02,6-2TCD1304采集数据.txt,color_card,6,2,False,3647,3627,3925.0,3.8643671323171835,2223.0,2940.0,2655.4728425696167,985.0,1702.0,1269.5271574303833,3437,3405,0,,0.567464439515203,0.6894350533598632
card06_rep03,6-3TCD1304采集数据.txt,color_card,6,3,False,3647,3627,3936.0,5.409482415166908,2227.0,2931.0,2657.86517783292,1005.0,1709.0,1278.1348221670803,3390,3408,0,,0.5706163543785168,0.6936235775112577
card06_rep04,6-4TCD1304采集数据.txt,color_card,6,4,False,3647,3627,3927.0,4.626013402488151,2230.0,2932.0,2656.443065894679,995.0,1697.0,1270.5569341053213,3376,3400,0,,0.5672534188349752,0.6911886657317845
card06_rep05,6-5TCD1304采集数据.txt,color_card,6,5,False,3647,3627,3932.0,5.582338219778519,2229.0,2933.0,2656.12158808933,999.0,1703.0,1275.87841191067,3382,3421,0,,0.5693961070712855,0.6922215801027636
card07_rep01,7-1TCD1304采集数据.txt,color_card,7,1,False,3647,3627,3929.0,3.9916579679793878,2213.0,2924.0,2638.2506203473945,1005.0,1716.0,1290.7493796526055,3382,3400,0,,0.5754564791242138,0.698491830420824
card07_rep02,7-2TCD1304采集数据.txt,color_card,7,2,False,3647,3627,3936.0,5.306835215078757,2216.0,2922.0,2638.8875103391233,1014.0,1720.0,1297.1124896608767,3381,3402,0,,0.578115103593977,0.7008127646143986
card07_rep03,7-3TCD1304采集数据.txt,color_card,7,3,False,3647,3627,3932.0,6.259659202650998,2213.0,2924.0,2637.812241521919,1008.0,1719.0,1294.1877584780812,3424,3409,0,,0.576433317876824,0.7014552368918414
card07_rep04,7-4TCD1304采集数据.txt,color_card,7,4,False,3647,3627,3936.0,6.781101188843397,2211.0,2920.0,2637.8456024262478,1016.0,1725.0,1298.1543975737525,3431,3412,0,,0.578644444392497,0.7004425416430115
card07_rep05,7-5TCD1304采集数据.txt,color_card,7,5,False,3647,3627,3936.0,5.495452665613635,2211.0,2920.0,2636.0204025365315,1016.0,1725.0,1299.9795974634685,3364,3403,0,,0.579067294758666,0.7044763289901949
card08_rep01,8-1TCD1304采集数据.txt,color_card,8,1,False,3647,3627,3936.0,4.471670083238849,2299.0,2978.0,2727.2757099531295,958.0,1637.0,1208.7242900468707,3374,3402,0,card08_rep02,0.5385600840645232,0.6664947609043567
card08_rep02,8-2TCD1304采集数据.txt,color_card,8,2,False,3647,3627,3936.0,4.471670083238849,2299.0,2978.0,2727.2757099531295,958.0,1637.0,1208.7242900468707,3374,3402,0,card08_rep01,0.5385600840645232,0.6664947609043567
card08_rep03,8-3TCD1304采集数据.txt,color_card,8,3,False,3647,3627,3936.0,2.0615528128088303,2298.0,2978.0,2727.786600496278,958.0,1638.0,1208.213399503722,3358,3404,0,,0.538845217552288,0.6666409321642895
card08_rep04,8-4TCD1304采集数据.txt,color_card,8,4,False,3647,3627,3932.0,6.510248331157063,2277.0,2972.0,2716.906534325889,960.0,1655.0,1215.0934656741108,3388,3412,0,,0.5409679163483674,0.6707882826124629
card08_rep05,8-5TCD1304采集数据.txt,color_card,8,5,False,3647,3627,3936.0,6.823672031978091,2280.0,2963.0,2711.4218362282877,973.0,1656.0,1224.578163771712,3360,3408,0,,0.545408603666691,0.6760905283094457
lens_rep01,镜片1TCD1304采集数据.txt,lens_reference,lens,1,True,3647,3627,3947.0,2.9410882339705484,1467.0,2347.0,1694.7730907085745,1600.0,2480.0,2252.2269092914253,2220,2192,0,,1.0,1.0
lens_rep02,镜片2TCD1304采集数据.txt,lens_reference,lens,2,True,3647,3627,3952.5,5.315072906367325,1465.0,2345.0,1693.7562724014338,1607.5,2487.5,2258.7437275985662,2232,2192,0,,1.0026390279580346,1.0051750178415968
lens_rep03,镜片3TCD1304采集数据.txt,lens_reference,lens,3,True,3647,3627,3949.0,2.247220505424423,1468.0,2349.0,1697.8640749931074,1600.0,2481.0,2251.1359250068926,2216,2191,0,,0.9997154241392375,1.0
lens_rep04,镜片4TCD1304采集数据.txt,lens_reference,lens,4,False,3647,3627,3933.0,6.774646362234219,1437.0,2357.0,1616.6407499310726,1576.0,2496.0,2316.3592500689274,2548,2561,0,,0.9847994686882559,1.5856182132546508
lens_rep05,镜片5TCD1304采集数据.txt,lens_reference,lens,5,False,3647,3627,3944.0,3.8449100552982163,1455.0,2323.0,1674.16211745244,1621.0,2489.0,2269.83788254756,2282,2295,0,,1.0034296743533015,1.4058080027450606
lens_unlabelled,镜片TCD1304采集数据.txt,lens_reference,lens,unlabelled,False,3647,3627,3953.0,4.033195589934446,1437.0,1809.0,1552.5869864902122,2144.0,2516.0,2400.4130135097876,3046,3161,0,,1.0208550652114516,1.5530234683634088
