,group01,group02,group03,group04,group05,group06,group07,group08,group09,group10,group11,group12
group01,1.0,0.9479724213439782,0.9385962733505759,0.9905022292068814,0.9877588840760261,0.979291752103443,0.9522901034244892,0.9126711602500825,0.8969587709973206,0.939620418545423,0.9598704256086029,-0.21626713515973928
group02,0.9479724213439782,1.0,0.9425889135291537,0.9611157392219212,0.9826594432908652,0.9754478678978173,0.993262956202588,0.95826724070053,0.9848938985284819,0.9924980180365177,0.9921338783094877,-0.10176843665707717
group03,0.938596273350576,0.9425889135291537,1.0,0.911450086133212,0.9459186747969557,0.90814268576822,0.9222201305511086,0.948238546425578,0.9422929615468153,0.9692886093612918,0.94797114742857,-0.2689981962605879
group04,0.9905022292068814,0.9611157392219212,0.911450086133212,0.9999999999999999,0.9904073686747883,0.9959603848155625,0.9738814707694222,0.9224448372346276,0.910452479472297,0.9408419658499121,0.9642282991963258,-0.17237302544811328
group05,0.987758884076026,0.9826594432908652,0.9459186747969558,0.9904073686747883,1.0,0.9921085012079848,0.9823712777328886,0.9342106378633465,0.9425178573913531,0.9732003446428666,0.9894465192658073,-0.14681189216818943
group06,0.979291752103443,0.9754478678978175,0.90814268576822,0.9959603848155626,0.9921085012079847,1.0,0.9874053063404232,0.930595820426582,0.9312923940950412,0.9538403218380762,0.9761013823591852,-0.12107329090830421
group07,0.9522901034244892,0.9932629562025879,0.9222201305511086,0.9738814707694221,0.9823712777328886,0.9874053063404233,1.0,0.9631067954103898,0.9729549286007115,0.9767670573749423,0.9816940896496317,-0.11034560465577035
group08,0.9126711602500825,0.95826724070053,0.948238546425578,0.9224448372346276,0.9342106378633463,0.930595820426582,0.9631067954103899,0.9999999999999999,0.9739136246000378,0.9617060875572458,0.9328498580529645,-0.24789764413796336
group09,0.8969587709973205,0.9848938985284819,0.9422929615468153,0.910452479472297,0.9425178573913532,0.931292394095041,0.9729549286007115,0.9739136246000379,1.0,0.9889594984822482,0.9666561972646742,-0.11202595434588393
group10,0.9396204185454231,0.9924980180365178,0.9692886093612919,0.9408419658499122,0.9732003446428668,0.9538403218380762,0.9767670573749423,0.961706087557246,0.9889594984822482,0.9999999999999999,0.9899097624532535,-0.12415063691207553
group11,0.9598704256086029,0.9921338783094877,0.9479711474285701,0.9642282991963258,0.9894465192658072,0.9761013823591853,0.9816940896496317,0.9328498580529646,0.9666561972646742,0.9899097624532535,0.9999999999999999,-0.07115731890732645
group12,-0.21626713515973925,-0.10176843665707719,-0.2689981962605879,-0.17237302544811328,-0.14681189216818943,-0.12107329090830421,-0.11034560465577037,-0.24789764413796336,-0.11202595434588394,-0.12415063691207553,-0.07115731890732645,1.0
