GroupID,Replicates,MeanPairCorrelation,MinPairCorrelation,MeanPointCV,MeanPeakPixelSmoothed,StdPeakPixelSmoothed
1,5,0.9998958486423956,0.9998714141709379,0.0028193809306790232,2343.8,0.4472135954999579
2,5,0.9999486835696869,0.9999267441416719,0.003127405332800789,2339.8,0.44721359549995787
3,5,0.9999168790004076,0.9998826849047464,0.0015474920780177968,2339.4,1.5165750888103102
4,5,0.999915830888734,0.9998955025127959,0.00382554872314303,2342.0,0.0
5,5,0.9998769603936484,0.9997598608059532,0.002402151806818455,2340.2,0.44721359549995787
6,5,0.9999226283490998,0.9998907766103642,0.004356607560395106,2340.0,0.0
7,5,0.9999403124564961,0.9999035229056936,0.0019549785942103402,2337.0,0.0
8,5,0.9998055098580346,0.9996993275589688,0.0023430954163272005,2076.8,1.0954451150103321
9,5,0.9999362107280796,0.9999137938028925,0.0034821461845065834,2338.6,0.8944271909999159
10,5,0.9999408268014358,0.9999297100754411,0.0018842124035023352,2340.0,0.0
11,5,0.9999545568951562,0.9999209698302125,0.003770301669972071,2340.4,0.5477225575051661
12,5,0.9999457563021041,0.9998964351616189,0.0011864149877203432,3450.4,184.34559935078462
