GroupID,PeakPixel,CurveArea,MaxValue,MedianValue
1,2344,2470.124726582849,0.9999894749354471,0.69565656162317
2,2340,2395.309991376489,0.9999987626521405,0.656961823854365
3,2339,2933.816856332537,0.9999732518180885,0.8292639872782879
4,2342,2375.0726278398397,1.0,0.6587542040319098
5,2340,2357.4545850177324,0.9999957481176622,0.6543049274908466
6,2340,2337.9723500200216,1.0,0.6445721867774721
7,2337,2403.2654013619567,1.0,0.6597649787670977
8,2077,2914.874577246774,0.9999842074695146,0.8134807996597615
9,2339,2719.6691239931556,0.9999799175291202,0.7504387507552336
10,2340,2628.624942054941,1.0,0.7295393228776736
11,2340,2404.592418089582,0.9999863811071904,0.6638337701125554
