Group,ColorName,PeakPixel,MinPixel,AreaBeforeNorm,MaxShapeValue,MinShapeValue
1,深粉红色,3122.4538853913,1987.21478792335,3340.57651062246,1.03617440181535,0.830109247335333
2,白色,24.832452552732,3644.83383116585,3626,1,0.999999999999999
3,橙色,1765.09916823675,2339.96705114655,3364.97023777843,1.06502199345041,0.810959107711408
4,紫色,3118.95468958228,1978.88336933045,3342.26496080647,1.03797690598671,0.855399639009508
5,粉色偏紫色,1739.27177059878,1978.7167409586,3495.85251108466,1.01507271448727,0.886705880621578
6,紫色偏蓝色,3308.07789164101,1970.05206562198,3413.78601366727,1.03319762021215,0.886558415056287
7,天蓝色,2222.32742061486,1841.24833417582,3503.67363863379,1.0207480100826,0.938636533962192
8,深绿色,3208.43412526998,2340.30030789026,3274.38594323746,1.05104256668539,0.802121305305054
9,黄色偏绿色,2046.86774504848,2341.46670649327,3494.15095761664,1.02626026021868,0.878014393645874
10,卡其色,1815.75419328156,2338.46739579983,3530.7380180249,1.03379332185919,0.90855646587957
11,粉色,1799.09135609577,1989.04770001379,3583.64435620161,1.05660688230153,0.937627110541286
