Group,PeakPixel,CurveArea,MaxValue,MedianValue
1,3122.4538853913,3340.57651062246,0.954611105243421,0.936469930156542
2,24.832452552732,3626,1,1
3,1765.09916823675,3364.97023777843,0.988352815923907,0.944823118112912
4,3118.95468958228,3342.26496080647,0.956755058743985,0.933132628340844
5,1739.27177059878,3495.85251108466,0.978638857659642,0.972279209079551
6,3308.07789164101,3413.78601366727,0.972729063771245,0.948380538676092
7,2222.32742061486,3503.67363863379,0.986312160676864,0.970345112927185
8,3208.43412526998,3274.38594323746,0.949122726447564,0.917347864267188
9,2046.86774504848,3494.15095761664,0.988943262825979,0.966826568955571
10,1815.75419328156,3530.7380180249,1.00663358639506,0.978943132734573
11,1799.09135609577,3583.64435620161,1.0442645588758,0.98976778821998
12,3362.23211249483,6844.23024883266,2.53386773979804,1.70873207928285
