File,NominalWavelength_nm,Folder,DarkADC,RawPeakPixel,LocalPeakPixel,CentroidPixel,PeakExcessIntensity,FWHM_pixel,LeftHalfPixel,RightHalfPixel
405-1.txt,405,405nm波长,3965,2558,2532,2529.80841250098,176.218962275347,89.6589714377797,2483.61639584002,2573.2753672778
405-2.txt,405,405nm波长,3965,2550,2527,2527.20043426755,172.970794714875,88.3524380596564,2482.91090657039,2571.26334463004
405-3.txt,405,405nm波长,3962,2550,2531,2529.01028617774,173.879825416134,89.4716051377445,2483.11794741068,2572.58955254843
405-4.txt,405,405nm波长,3963,2558,2531,2528.90367723226,173.925734367381,89.3582421951528,2482.97949932275,2572.3377415179
405-5.txt,405,405nm波长,3962,2556,2532,2529.58077333184,179.459733956249,89.375689124111,2483.48910087719,2572.8647900013
406-1.txt,405,405nm波长,3962.5,2533,2518,2521.91870737175,150.475811950234,79.7631614308057,2483.52211510822,2563.28527653903
406-2.txt,405,405nm波长,3965,2544,2521,2523.60485540093,152.9572742436,80.8970009843392,2484.33070025361,2565.22770123795
406-3.txt,405,405nm波长,3962,2552,2524,2525.56603151744,157.888417694317,82.2993235569693,2485.12078117195,2567.42010472892
406-4.txt,405,405nm波长,3962.5,2550,2522,2524.35671348352,155.007769145778,81.7794606649227,2484.51105799384,2566.29051865876
406-5.txt,405,405nm波长,3958,2542,2524,2525.36226788204,156.114716771486,81.9200264144574,2485.00095154718,2566.92097796164
780-1.txt,780,780nm波长,3957,1149,1123,1106.56825749447,174.630750765643,125.425287835151,1037.44695081967,1162.87223865482
780-10.txt,780,780nm波长,3961,1147,1128,1112.41101888462,205.915815632101,111.044558441328,1050.93980410935,1161.98436255067
780-2.txt,780,780nm波长,3958,1147,1122,1105.3097532513,171.382763739868,127.132420230151,1035.70348132974,1162.83590155989
780-3.txt,780,780nm波长,3959,1147,1132,1113.40261003243,183.422279802119,123.613476983888,1042.34973043906,1165.96320742295
780-4.txt,780,780nm波长,3959,1147,1132,1115.90918635226,227.146148560136,115.750859320392,1048.24774216224,1163.99860148263
780-5.txt,780,780nm波长,3962,1145,1123,1108.83360586933,176.986478803631,116.019693089352,1045.95496236416,1161.97465545351
780-6.txt,780,780nm波长,3963,1148,1130,1112.37167793386,179.756618428822,121.062362697777,1043.74925146926,1164.81161416703
780-7.txt,780,780nm波长,3958,1149,1129,1113.63140661808,192.761342069909,114.491748747895,1049.54762603217,1164.03937478007
780-8.txt,780,780nm波长,3961,1149,1131,1117.15355657111,207.074425225127,114.1067825722,1052.69836625646,1166.80514882866
780-9.txt,780,780nm波长,3960,1149,1126,1110.34394494594,176.006162114454,112.566511379988,1048.24490618936,1160.81141756935
