Pixel,ADC,VoltageV
1,3940,3.175092
2,3940,3.175092
3,3940,3.175092
4,3932,3.168645
5,3932,3.168645
6,3933,3.169451
7,3932,3.168645
8,3932,3.168645
9,3932,3.168645
10,3932,3.168645
11,3919,3.158168
12,3932,3.168645
13,3932,3.168645
14,3933,3.169451
15,3932,3.168645
16,3917,3.156557
17,3117,2.511868
18,2532,2.040440
19,2556,2.059780
20,2557,2.060586
21,2565,2.067033
22,2573,2.073480
23,2565,2.067033
24,2573,2.073480
25,2581,2.079927
26,2557,2.060586
27,2573,2.073480
28,2572,2.072674
29,2573,2.073480
30,2572,2.072674
31,2573,2.073480
32,2581,2.079927
33,2572,2.072674
34,2573,2.073480
35,2588,2.085568
36,2581,2.079927
37,2588,2.085568
38,2580,2.079121
39,2588,2.085568
40,2573,2.073480
41,2572,2.072674
42,2573,2.073480
43,2588,2.085568
44,2557,2.060586
45,2573,2.073480
46,2557,2.060586
47,2565,2.067033
48,2572,2.072674
49,2581,2.079927
50,2588,2.085568
51,2564,2.066227
52,2573,2.073480
53,2564,2.066227
54,2557,2.060586
55,2588,2.085568
56,2572,2.072674
57,2559,2.062198
58,2565,2.067033
59,2557,2.060586
60,2572,2.072674
61,2572,2.072674
62,2564,2.066227
63,2572,2.072674
64,2573,2.073480
65,2565,2.067033
66,2556,2.059780
67,2557,2.060586
68,2573,2.073480
69,2572,2.072674
70,2573,2.073480
71,2572,2.072674
72,2572,2.072674
73,2565,2.067033
74,2575,2.075092
75,2573,2.073480
76,2573,2.073480
77,2573,2.073480
78,2573,2.073480
79,2588,2.085568
80,2573,2.073480
81,2572,2.072674
82,2596,2.092015
83,2573,2.073480
84,2573,2.073480
85,2573,2.073480
86,2573,2.073480
87,2557,2.060586
88,2581,2.079927
89,2575,2.075092
90,2573,2.073480
91,2581,2.079927
92,2588,2.085568
93,2572,2.072674
94,2573,2.073480
95,2565,2.067033
96,2573,2.073480
97,2565,2.067033
98,2581,2.079927
99,2565,2.067033
100,2572,2.072674
101,2572,2.072674
102,2565,2.067033
103,2557,2.060586
104,2572,2.072674
105,2572,2.072674
106,2565,2.067033
107,2573,2.073480
108,2572,2.072674
109,2557,2.060586
110,2572,2.072674
111,2557,2.060586
112,2572,2.072674
113,2572,2.072674
114,2564,2.066227
115,2557,2.060586
116,2572,2.072674
117,2572,2.072674
118,2572,2.072674
119,2565,2.067033
120,2565,2.067033
121,2559,2.062198
122,2589,2.086374
123,2581,2.079927
124,2581,2.079927
125,2573,2.073480
126,2559,2.062198
127,2572,2.072674
128,2573,2.073480
129,2572,2.072674
130,2572,2.072674
131,2573,2.073480
132,2581,2.079927
133,2581,2.079927
134,2573,2.073480
135,2573,2.073480
136,2589,2.086374
137,2575,2.075092
138,2573,2.073480
139,2588,2.085568
140,2565,2.067033
141,2575,2.075092
142,2580,2.079121
143,2589,2.086374
144,2589,2.086374
145,2573,2.073480
146,2565,2.067033
147,2559,2.062198
148,2588,2.085568
149,2581,2.079927
150,2572,2.072674
151,2573,2.073480
152,2588,2.085568
153,2573,2.073480
154,2573,2.073480
155,2573,2.073480
156,2572,2.072674
157,2573,2.073480
158,2572,2.072674
159,2573,2.073480
160,2573,2.073480
161,2596,2.092015
162,2581,2.079927
163,2573,2.073480
164,2573,2.073480
165,2589,2.086374
166,2573,2.073480
167,2565,2.067033
168,2557,2.060586
169,2581,2.079927
170,2573,2.073480
171,2581,2.079927
172,2573,2.073480
173,2581,2.079927
174,2588,2.085568
175,2588,2.085568
176,2572,2.072674
177,2573,2.073480
178,2573,2.073480
179,2565,2.067033
180,2575,2.075092
181,2573,2.073480
182,2572,2.072674
183,2565,2.067033
184,2581,2.079927
185,2572,2.072674
186,2557,2.060586
187,2565,2.067033
188,2557,2.060586
189,2573,2.073480
190,2572,2.072674
191,2573,2.073480
192,2565,2.067033
193,2573,2.073480
194,2565,2.067033
195,2572,2.072674
196,2565,2.067033
197,2557,2.060586
198,2556,2.059780
199,2557,2.060586
200,2565,2.067033
201,2565,2.067033
202,2565,2.067033
203,2557,2.060586
204,2565,2.067033
205,2573,2.073480
206,2573,2.073480
207,2559,2.062198
208,2557,2.060586
209,2573,2.073480
210,2565,2.067033
211,2573,2.073480
212,2572,2.072674
213,2557,2.060586
214,2588,2.085568
215,2559,2.062198
216,2559,2.062198
217,2565,2.067033
218,2575,2.075092
219,2572,2.072674
220,2572,2.072674
221,2573,2.073480
222,2572,2.072674
223,2572,2.072674
224,2572,2.072674
225,2565,2.067033
226,2575,2.075092
227,2573,2.073480
228,2572,2.072674
229,2573,2.073480
230,2575,2.075092
231,2573,2.073480
232,2575,2.075092
233,2565,2.067033
234,2589,2.086374
235,2588,2.085568
236,2573,2.073480
237,2565,2.067033
238,2572,2.072674
239,2572,2.072674
240,2557,2.060586
241,2573,2.073480
242,2559,2.062198
243,2565,2.067033
244,2572,2.072674
245,2573,2.073480
246,2572,2.072674
247,2572,2.072674
248,2565,2.067033
249,2559,2.062198
250,2573,2.073480
251,2573,2.073480
252,2565,2.067033
