Pixel,ADC,VoltageV
1,3947,3.180733
2,3947,3.180733
3,3947,3.180733
4,3944,3.178315
5,3944,3.178315
6,3944,3.178315
7,3944,3.178315
8,3938,3.173480
9,3938,3.173480
10,3944,3.178315
11,3938,3.173480
12,3939,3.174286
13,3939,3.174286
14,3946,3.179927
15,3939,3.174286
16,3936,3.171868
17,2528,2.037216
18,1663,1.340147
19,1679,1.353040
20,1690,1.361905
21,1679,1.353040
22,1698,1.368352
23,1690,1.361905
24,1696,1.366740
25,1698,1.368352
26,1696,1.366740
27,1696,1.366740
28,1698,1.368352
29,1698,1.368352
30,1696,1.366740
31,1688,1.360293
32,1691,1.362711
33,1691,1.362711
34,1691,1.362711
35,1698,1.368352
36,1696,1.366740
37,1696,1.366740
38,1696,1.366740
39,1696,1.366740
40,1698,1.368352
41,1688,1.360293
42,1690,1.361905
43,1696,1.366740
44,1698,1.368352
45,1696,1.366740
46,1691,1.362711
47,1683,1.356264
48,1690,1.361905
49,1699,1.369158
50,1698,1.368352
51,1690,1.361905
52,1696,1.366740
53,1698,1.368352
54,1696,1.366740
55,1691,1.362711
56,1691,1.362711
57,1696,1.366740
58,1691,1.362711
59,1696,1.366740
60,1696,1.366740
61,1699,1.369158
62,1691,1.362711
63,1688,1.360293
64,1690,1.361905
65,1696,1.366740
66,1696,1.366740
67,1691,1.362711
68,1688,1.360293
69,1683,1.356264
70,1688,1.360293
71,1690,1.361905
72,1683,1.356264
73,1691,1.362711
74,1691,1.362711
75,1696,1.366740
76,1699,1.369158
77,1696,1.366740
78,1696,1.366740
79,1688,1.360293
80,1688,1.360293
81,1698,1.368352
82,1698,1.368352
83,1698,1.368352
84,1698,1.368352
85,1696,1.366740
86,1699,1.369158
87,1698,1.368352
88,1696,1.366740
89,1696,1.366740
90,1707,1.375604
91,1699,1.369158
92,1699,1.369158
93,1704,1.373187
94,1698,1.368352
95,1691,1.362711
96,1690,1.361905
97,1683,1.356264
98,1696,1.366740
99,1696,1.366740
100,1699,1.369158
101,1691,1.362711
102,1691,1.362711
103,1688,1.360293
104,1696,1.366740
105,1690,1.361905
106,1688,1.360293
107,1683,1.356264
108,1679,1.353040
109,1696,1.366740
110,1691,1.362711
111,1691,1.362711
112,1679,1.353040
113,1675,1.349817
114,1675,1.349817
115,1688,1.360293
116,1696,1.366740
117,1689,1.361099
118,1691,1.362711
119,1683,1.356264
120,1696,1.366740
121,1696,1.366740
122,1696,1.366740
123,1699,1.369158
124,1691,1.362711
125,1696,1.366740
126,1690,1.361905
127,1691,1.362711
128,1689,1.361099
129,1683,1.356264
130,1691,1.362711
131,1690,1.361905
132,1691,1.362711
133,1696,1.366740
134,1691,1.362711
135,1699,1.369158
136,1696,1.366740
137,1696,1.366740
138,1696,1.366740
139,1699,1.369158
140,1696,1.366740
141,1691,1.362711
142,1699,1.369158
143,1699,1.369158
144,1699,1.369158
145,1690,1.361905
146,1706,1.374799
147,1690,1.361905
148,1699,1.369158
149,1696,1.366740
150,1698,1.368352
151,1696,1.366740
152,1698,1.368352
153,1696,1.366740
154,1696,1.366740
155,1691,1.362711
156,1699,1.369158
157,1698,1.368352
158,1696,1.366740
159,1696,1.366740
160,1696,1.366740
161,1698,1.368352
162,1698,1.368352
163,1704,1.373187
164,1698,1.368352
165,1698,1.368352
166,1688,1.360293
167,1691,1.362711
168,1691,1.362711
169,1683,1.356264
170,1696,1.366740
171,1690,1.361905
172,1691,1.362711
173,1691,1.362711
174,1704,1.373187
175,1698,1.368352
176,1699,1.369158
177,1696,1.366740
178,1696,1.366740
179,1690,1.361905
180,1690,1.361905
181,1696,1.366740
182,1683,1.356264
183,1679,1.353040
184,1683,1.356264
185,1683,1.356264
186,1683,1.356264
187,1683,1.356264
188,1696,1.366740
189,1683,1.356264
190,1683,1.356264
191,1675,1.349817
192,1683,1.356264
193,1683,1.356264
194,1675,1.349817
195,1683,1.356264
196,1683,1.356264
197,1679,1.353040
198,1679,1.353040
199,1679,1.353040
200,1683,1.356264
201,1675,1.349817
202,1683,1.356264
203,1683,1.356264
204,1679,1.353040
205,1679,1.353040
206,1679,1.353040
207,1688,1.360293
208,1679,1.353040
209,1683,1.356264
210,1679,1.353040
211,1683,1.356264
212,1679,1.353040
213,1675,1.349817
214,1679,1.353040
215,1690,1.361905
216,1691,1.362711
217,1679,1.353040
218,1679,1.353040
219,1679,1.353040
220,1683,1.356264
221,1679,1.353040
222,1691,1.362711
223,1683,1.356264
224,1679,1.353040
225,1683,1.356264
226,1679,1.353040
227,1674,1.349011
228,1679,1.353040
229,1679,1.353040
230,1679,1.353040
231,1688,1.360293
232,1675,1.349817
233,1675,1.349817
234,1675,1.349817
235,1675,1.349817
236,1674,1.349011
237,1675,1.349817
238,1672,1.347399
239,1675,1.349817
240,1667,1.343370
241,1663,1.340147
242,1659,1.336923
243,1663,1.340147
244,1663,1.340147
245,1663,1.340147
246,1663,1.340147
247,1659,1.336923
248,1659,1.336923
249,1658,1.336117
250,1656,1.334505
251,1647,1.327253
252,1658,1.336117
253,1651,1.330476
254,1651,1.330476
255,1647,1.327253
256,1651,1.330476
257,1651,1.330476
258,1647,1.327253
259,1656,1.334505
