Pixel,ADC,VoltageV
1,3957,3.188791
2,3957,3.188791
3,3961,3.192015
4,3952,3.184762
5,3953,3.185568
6,3953,3.185568
7,3953,3.185568
8,3952,3.184762
9,3953,3.185568
10,3953,3.185568
11,3952,3.184762
12,3953,3.185568
13,3953,3.185568
14,3953,3.185568
15,3952,3.184762
16,3941,3.175897
17,2633,2.121832
18,1745,1.406227
19,1777,1.432015
20,1781,1.435238
21,1793,1.444908
22,1792,1.444103
23,1792,1.444103
24,1796,1.447326
25,1792,1.444103
26,1793,1.444908
27,1793,1.444908
28,1793,1.444908
29,1793,1.444908
30,1805,1.454579
31,1785,1.438462
32,1792,1.444103
33,1793,1.444908
34,1781,1.435238
35,1792,1.444103
36,1792,1.444103
37,1793,1.444908
38,1792,1.444103
39,1792,1.444103
40,1792,1.444103
41,1801,1.451355
42,1781,1.435238
43,1777,1.432015
44,1793,1.444908
45,1785,1.438462
46,1792,1.444103
47,1792,1.444103
48,1792,1.444103
49,1792,1.444103
50,1792,1.444103
51,1792,1.444103
52,1793,1.444908
53,1797,1.448132
54,1777,1.432015
55,1797,1.448132
56,1781,1.435238
57,1797,1.448132
58,1792,1.444103
59,1792,1.444103
60,1792,1.444103
61,1792,1.444103
62,1792,1.444103
63,1793,1.444908
64,1792,1.444103
65,1796,1.447326
66,1792,1.444103
67,1792,1.444103
68,1792,1.444103
69,1792,1.444103
70,1776,1.431209
71,1792,1.444103
72,1781,1.435238
73,1792,1.444103
74,1792,1.444103
75,1792,1.444103
76,1793,1.444908
77,1792,1.444103
78,1792,1.444103
79,1793,1.444908
80,1792,1.444103
81,1797,1.448132
82,1809,1.457802
83,1793,1.444908
84,1793,1.444908
85,1801,1.451355
86,1792,1.444103
87,1805,1.454579
88,1792,1.444103
89,1792,1.444103
90,1796,1.447326
91,1796,1.447326
92,1793,1.444908
93,1805,1.454579
94,1801,1.451355
95,1797,1.448132
96,1792,1.444103
97,1792,1.444103
98,1776,1.431209
99,1781,1.435238
100,1792,1.444103
101,1792,1.444103
102,1792,1.444103
103,1781,1.435238
104,1785,1.438462
105,1793,1.444908
106,1780,1.434432
107,1793,1.444908
108,1777,1.432015
109,1776,1.431209
110,1781,1.435238
111,1780,1.434432
112,1781,1.435238
113,1776,1.431209
114,1792,1.444103
115,1780,1.434432
116,1776,1.431209
117,1792,1.444103
118,1792,1.444103
119,1793,1.444908
120,1792,1.444103
121,1797,1.448132
122,1792,1.444103
123,1792,1.444103
124,1793,1.444908
125,1792,1.444103
126,1796,1.447326
127,1793,1.444908
128,1781,1.435238
129,1777,1.432015
130,1792,1.444103
131,1780,1.434432
132,1797,1.448132
133,1793,1.444908
134,1801,1.451355
135,1792,1.444103
136,1804,1.453773
137,1792,1.444103
138,1792,1.444103
139,1796,1.447326
140,1796,1.447326
141,1792,1.444103
142,1801,1.451355
143,1793,1.444908
144,1801,1.451355
145,1801,1.451355
146,1792,1.444103
147,1792,1.444103
148,1785,1.438462
149,1797,1.448132
150,1804,1.453773
151,1793,1.444908
152,1801,1.451355
