Pixel,ADC,VoltageV
1,3958,3.189597
2,3958,3.189597
3,3958,3.189597
4,3954,3.186374
5,3958,3.189597
6,3954,3.186374
7,3958,3.189597
8,3958,3.189597
9,3942,3.176703
10,3954,3.186374
11,3954,3.186374
12,3958,3.189597
13,3958,3.189597
14,3958,3.189597
15,3954,3.186374
16,3950,3.183150
17,3442,2.773773
18,3026,2.438535
19,3072,2.475604
20,3072,2.475604
21,3046,2.454652
22,3072,2.475604
23,3072,2.475604
24,3074,2.477216
25,3072,2.475604
26,3072,2.475604
27,3072,2.475604
28,3072,2.475604
29,3074,2.477216
30,3074,2.477216
31,3072,2.475604
32,3072,2.475604
33,3078,2.480440
34,3072,2.475604
35,3072,2.475604
36,3074,2.477216
37,3072,2.475604
38,3072,2.475604
39,3074,2.477216
40,3074,2.477216
41,3074,2.477216
42,3072,2.475604
43,3074,2.477216
44,3074,2.477216
45,3074,2.477216
46,3074,2.477216
47,3072,2.475604
48,3072,2.475604
49,3074,2.477216
50,3074,2.477216
51,3072,2.475604
52,3072,2.475604
53,3072,2.475604
54,3072,2.475604
55,3074,2.477216
56,3074,2.477216
57,3074,2.477216
58,3074,2.477216
59,3072,2.475604
60,3074,2.477216
61,3072,2.475604
62,3074,2.477216
63,3072,2.475604
64,3072,2.475604
65,3074,2.477216
66,3072,2.475604
67,3072,2.475604
68,3072,2.475604
69,3074,2.477216
70,3074,2.477216
71,3072,2.475604
72,3074,2.477216
73,3072,2.475604
74,3072,2.475604
75,3072,2.475604
76,3072,2.475604
77,3072,2.475604
78,3072,2.475604
79,3072,2.475604
80,3072,2.475604
81,3072,2.475604
82,3072,2.475604
83,3072,2.475604
84,3072,2.475604
85,3072,2.475604
86,3072,2.475604
87,3072,2.475604
88,3072,2.475604
89,3072,2.475604
90,3074,2.477216
91,3074,2.477216
92,3072,2.475604
93,3072,2.475604
94,3072,2.475604
95,3074,2.477216
96,3074,2.477216
97,3072,2.475604
98,3078,2.480440
99,3072,2.475604
100,3072,2.475604
101,3072,2.475604
102,3072,2.475604
103,3072,2.475604
104,3072,2.475604
105,3072,2.475604
106,3072,2.475604
107,3072,2.475604
108,3074,2.477216
109,3072,2.475604
110,3072,2.475604
111,3072,2.475604
112,3072,2.475604
113,3072,2.475604
114,3074,2.477216
115,3072,2.475604
116,3072,2.475604
117,3072,2.475604
118,3072,2.475604
119,3072,2.475604
120,3072,2.475604
121,3072,2.475604
122,3072,2.475604
123,3072,2.475604
124,3072,2.475604
125,3074,2.477216
126,3072,2.475604
127,3072,2.475604
128,3072,2.475604
129,3072,2.475604
130,3074,2.477216
131,3072,2.475604
132,3072,2.475604
133,3072,2.475604
134,3072,2.475604
135,3072,2.475604
136,3072,2.475604
137,3072,2.475604
138,3074,2.477216
139,3072,2.475604
140,3078,2.480440
141,3078,2.480440
142,3074,2.477216
