Pixel,ADC,VoltageV
1,3957,3.188791
2,3957,3.188791
3,3957,3.188791
4,3957,3.188791
5,3957,3.188791
6,3957,3.188791
7,3957,3.188791
8,3957,3.188791
9,3957,3.188791
10,3957,3.188791
11,3957,3.188791
12,3957,3.188791
13,3957,3.188791
14,3957,3.188791
15,3957,3.188791
16,3953,3.185568
17,3105,2.502198
18,2417,1.947766
19,2437,1.963883
20,2453,1.976777
21,2461,1.983223
22,2453,1.976777
23,2448,1.972747
24,2437,1.963883
25,2448,1.972747
26,2455,1.978388
27,2448,1.972747
28,2453,1.976777
29,2453,1.976777
30,2469,1.989670
31,2437,1.963883
32,2448,1.972747
33,2449,1.973553
34,2448,1.972747
35,2469,1.989670
36,2461,1.983223
37,2453,1.976777
38,2469,1.989670
39,2465,1.986447
40,2461,1.983223
41,2461,1.983223
42,2453,1.976777
43,2453,1.976777
44,2449,1.973553
45,2465,1.986447
46,2465,1.986447
47,2465,1.986447
48,2453,1.976777
49,2449,1.973553
50,2469,1.989670
51,2461,1.983223
52,2465,1.986447
53,2469,1.989670
54,2469,1.989670
55,2465,1.986447
56,2480,1.998535
57,2469,1.989670
58,2453,1.976777
59,2469,1.989670
60,2453,1.976777
61,2453,1.976777
62,2469,1.989670
63,2465,1.986447
64,2461,1.983223
65,2453,1.976777
66,2455,1.978388
67,2461,1.983223
68,2469,1.989670
69,2469,1.989670
70,2469,1.989670
71,2455,1.978388
72,2453,1.976777
73,2461,1.983223
74,2461,1.983223
75,2452,1.975971
76,2453,1.976777
77,2455,1.978388
78,2469,1.989670
79,2465,1.986447
80,2453,1.976777
81,2469,1.989670
82,2469,1.989670
83,2465,1.986447
84,2461,1.983223
85,2469,1.989670
86,2481,1.999341
87,2465,1.986447
88,2453,1.976777
89,2461,1.983223
90,2469,1.989670
91,2465,1.986447
92,2469,1.989670
93,2469,1.989670
94,2455,1.978388
95,2469,1.989670
96,2469,1.989670
97,2453,1.976777
98,2465,1.986447
99,2465,1.986447
100,2465,1.986447
101,2480,1.998535
102,2469,1.989670
103,2461,1.983223
104,2481,1.999341
105,2469,1.989670
106,2465,1.986447
107,2465,1.986447
108,2465,1.986447
109,2465,1.986447
110,2455,1.978388
111,2461,1.983223
112,2469,1.989670
113,2448,1.972747
114,2453,1.976777
115,2469,1.989670
116,2453,1.976777
117,2461,1.983223
118,2455,1.978388
119,2455,1.978388
120,2453,1.976777
121,2465,1.986447
122,2461,1.983223
123,2453,1.976777
124,2453,1.976777
125,2469,1.989670
126,2469,1.989670
127,2480,1.998535
128,2480,1.998535
129,2465,1.986447
130,2465,1.986447
131,2453,1.976777
132,2469,1.989670
133,2461,1.983223
134,2469,1.989670
135,2453,1.976777
136,2455,1.978388
137,2455,1.978388
138,2461,1.983223
139,2465,1.986447
140,2481,1.999341
141,2481,1.999341
142,2461,1.983223
143,2480,1.998535
144,2469,1.989670
145,2469,1.989670
146,2465,1.986447
147,2481,1.999341
148,2469,1.989670
149,2469,1.989670
150,2480,1.998535
151,2485,2.002564
152,2480,1.998535
