Pixel	ADC	VoltageV
1	3936	3.171868
2	3937	3.172674
3	3937	3.172674
4	3925	3.163004
5	3925	3.163004
6	3936	3.171868
7	3925	3.163004
8	3925	3.163004
9	3925	3.163004
10	3925	3.163004
11	3925	3.163004
12	3925	3.163004
13	3925	3.163004
14	3925	3.163004
15	3925	3.163004
16	3925	3.163004
17	3157	2.544103
18	2565	2.067033
19	2576	2.075897
20	2581	2.079927
21	2577	2.076703
22	2583	2.081538
23	2576	2.075897
24	2577	2.076703
25	2581	2.079927
26	2576	2.075897
27	2581	2.079927
28	2593	2.089597
29	2565	2.067033
30	2580	2.079121
31	2576	2.075897
32	2581	2.079927
33	2583	2.081538
34	2592	2.088791
35	2583	2.081538
36	2581	2.079927
37	2593	2.089597
38	2581	2.079927
39	2593	2.089597
40	2581	2.079927
41	2596	2.092015
42	2589	2.086374
43	2592	2.088791
44	2581	2.079927
45	2592	2.088791
46	2581	2.079927
47	2589	2.086374
48	2597	2.092821
49	2577	2.076703
50	2597	2.092821
51	2597	2.092821
52	2581	2.079927
53	2581	2.079927
54	2596	2.092015
55	2593	2.089597
56	2593	2.089597
57	2608	2.101685
58	2593	2.089597
59	2577	2.076703
60	2596	2.092015
61	2581	2.079927
62	2593	2.089597
63	2583	2.081538
64	2597	2.092821
65	2597	2.092821
66	2597	2.092821
67	2597	2.092821
68	2593	2.089597
69	2597	2.092821
70	2593	2.089597
71	2597	2.092821
72	2597	2.092821
73	2593	2.089597
74	2583	2.081538
75	2592	2.088791
76	2597	2.092821
77	2581	2.079927
78	2597	2.092821
79	2581	2.079927
80	2593	2.089597
81	2581	2.079927
82	2596	2.092015
83	2592	2.088791
84	2581	2.079927
85	2593	2.089597
86	2593	2.089597
87	2565	2.067033
88	2596	2.092015
89	2593	2.089597
90	2581	2.079927
91	2581	2.079927
92	2593	2.089597
93	2581	2.079927
94	2581	2.079927
95	2581	2.079927
96	2597	2.092821
97	2581	2.079927
98	2581	2.079927
99	2583	2.081538
100	2592	2.088791
101	2597	2.092821
102	2593	2.089597
103	2581	2.079927
104	2608	2.101685
105	2581	2.079927
106	2592	2.088791
107	2593	2.089597
108	2597	2.092821
109	2596	2.092015
110	2581	2.079927
111	2592	2.088791
112	2597	2.092821
113	2581	2.079927
114	2581	2.079927
115	2581	2.079927
116	2596	2.092015
117	2593	2.089597
118	2581	2.079927
119	2593	2.089597
120	2597	2.092821
121	2597	2.092821
122	2589	2.086374
123	2597	2.092821
124	2608	2.101685
125	2593	2.089597
126	2593	2.089597
127	2581	2.079927
128	2597	2.092821
129	2576	2.075897
130	2581	2.079927
131	2597	2.092821
132	2589	2.086374
133	2581	2.079927
134	2581	2.079927
135	2581	2.079927
136	2581	2.079927
137	2581	2.079927
138	2581	2.079927
139	2592	2.088791
140	2593	2.089597
141	2597	2.092821
142	2597	2.092821
143	2593	2.089597
144	2589	2.086374
145	2589	2.086374
146	2576	2.075897
147	2593	2.089597
148	2583	2.081538
149	2581	2.079927
150	2581	2.079927
151	2593	2.089597
152	2592	2.088791
153	2593	2.089597
154	2589	2.086374
155	2596	2.092015
156	2592	2.088791
157	2589	2.086374
158	2608	2.101685
159	2597	2.092821
160	2596	2.092015
161	2596	2.092015
162	2583	2.081538
163	2581	2.079927
164	2597	2.092821
165	2608	2.101685
166	2581	2.079927
167	2589	2.086374
168	2597	2.092821
169	2592	2.088791
170	2593	2.089597
171	2597	2.092821
172	2581	2.079927
173	2597	2.092821
174	2608	2.101685
175	2597	2.092821
176	2597	2.092821
177	2608	2.101685
178	2581	2.079927
179	2581	2.079927
180	2597	2.092821
181	2608	2.101685
182	2597	2.092821
183	2609	2.102491
184	2597	2.092821
185	2593	2.089597
186	2597	2.092821
187	2597	2.092821
188	2596	2.092015
189	2608	2.101685
190	2597	2.092821
191	2597	2.092821
192	2596	2.092015
193	2597	2.092821
194	2597	2.092821
195	2597	2.092821
196	2597	2.092821
197	2581	2.079927
198	2597	2.092821
199	2593	2.089597
200	2608	2.101685
201	2581	2.079927
202	2608	2.101685
203	2609	2.102491
204	2597	2.092821
205	2593	2.089597
206	2592	2.088791
207	2593	2.089597
208	2597	2.092821
209	2597	2.092821
210	2593	2.089597
211	2581	2.079927
212	2597	2.092821
213	2592	2.088791
214	2596	2.092015
215	2597	2.092821
216	2596	2.092015
217	2608	2.101685
218	2593	2.089597
219	2583	2.081538
220	2597	2.092821
221	2597	2.092821
222	2592	2.088791
223	2608	2.101685
224	2597	2.092821
225	2597	2.092821
226	2597	2.092821
227	2593	2.089597
228	2581	2.079927
229	2592	2.088791
230	2593	2.089597
231	2597	2.092821
232	2608	2.101685
233	2609	2.102491
234	2597	2.092821
235	2583	2.081538
236	2581	2.079927
237	2597	2.092821
238	2608	2.101685
239	2583	2.081538
240	2608	2.101685
241	2597	2.092821
242	2597	2.092821
243	2597	2.092821
244	2596	2.092015
245	2581	2.079927
246	2581	2.079927
247	2597	2.092821
248	2597	2.092821
249	2581	2.079927
250	2597	2.092821
251	2581	2.079927
252	2596	2.092015
253	2608	2.101685
254	2597	2.092821
255	2608	2.101685
256	2608	2.101685
257	2593	2.089597
258	2597	2.092821
259	2609	2.102491
260	2609	2.102491
261	2592	2.088791
262	2608	2.101685
263	2597	2.092821
264	2608	2.101685
265	2593	2.089597
266	2597	2.092821
267	2597	2.092821
268	2608	2.101685
269	2608	2.101685
270	2608	2.101685
271	2597	2.092821
272	2592	2.088791
273	2597	2.092821
274	2608	2.101685
275	2609	2.102491
276	2593	2.089597
277	2593	2.089597
278	2608	2.101685
279	2597	2.092821
280	2597	2.092821
281	2589	2.086374
282	2608	2.101685
283	2597	2.092821
284	2593	2.089597
285	2609	2.102491
286	2608	2.101685
287	2597	2.092821
288	2612	2.104908
289	2593	2.089597
290	2593	2.089597
291	2597	2.092821
292	2597	2.092821
293	2608	2.101685
294	2608	2.101685
295	2609	2.102491
296	2592	2.088791
297	2597	2.092821
298	2608	2.101685
299	2608	2.101685
300	2596	2.092015
